ticker,PUDA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-26,0.0
2005-06-03,-28.0
2005-06-10,-11.1111
2005-06-22,56.25
2005-07-18,-20.0
2005-07-19,-40.0
2005-07-25,0.0
2005-07-29,0.0
2005-08-01,-8.3333
2005-08-12,18.1818
2005-08-16,26.9231
2005-08-17,9.0909
2005-08-18,0.0
2005-08-19,0.0
2005-08-23,-20.0
2005-08-24,-9.7222
2005-08-29,0.0
2005-08-30,-7.6923
2005-08-31,41.6667
2005-09-01,-17.647100000000002
2005-09-06,28.5714
2005-09-07,22.2222
2005-09-08,4.5455
2005-09-09,-13.0435
2005-09-12,-17.5
2005-09-13,9.0909
2005-09-14,-16.6667
2005-09-15,-21.3333
2005-09-16,10.1695
2005-09-19,15.3846
2005-09-20,16.6667
2005-09-21,-19.4286
2005-09-22,0.0
2005-09-23,0.7092
2005-09-26,-8.4507
2005-09-27,3.8462
2005-09-29,-7.4074
2005-09-30,4.0
2005-10-04,7.6923
2005-10-05,-7.1429
2005-10-10,-3.8462
2005-10-11,-4.0
2005-10-12,0.0
2005-10-13,-8.3333
2005-10-14,-4.5455
2005-10-17,-2.8571
2005-10-18,0.0
2005-10-19,1.9607999999999999
2005-10-20,-1.9231
2005-10-21,7.8431
2005-10-24,0.0
2005-10-25,27.2727
2005-10-26,-7.1429
2005-10-27,-7.6923
2005-10-28,12.5
2005-10-31,33.3333
2005-11-01,2.7778
2005-11-02,24.3784
2005-11-03,8.6484
2005-11-04,26.0
2005-11-07,-9.5238
2005-11-08,0.0
2005-11-09,-7.0175
2005-11-10,-3.7736
2005-11-11,-7.8431
2005-11-14,-3.8298
2005-11-15,6.1947
2005-11-16,0.0
2005-11-17,12.5
2005-11-18,-8.8889
2005-11-21,-12.1951
2005-11-22,15.7407
2005-11-23,0.0
2005-11-25,-10.0
2005-11-28,-8.8889
2005-11-29,-4.878
2005-11-30,15.3846
2005-12-01,6.6667
2005-12-02,-5.8333
2005-12-05,-9.292
2005-12-06,0.0
2005-12-07,7.3171
2005-12-08,-2.2727
2005-12-09,-2.3256
2005-12-12,0.0
2005-12-13,0.0
2005-12-14,0.0
2005-12-15,-1.9048
2005-12-16,-0.4854
2005-12-19,-4.878
2005-12-20,2.5641
2005-12-21,5.0
2005-12-22,-4.7619
2005-12-23,-5.0
2005-12-27,5.2632
2005-12-28,-2.5
2005-12-29,2.5641
2005-12-30,7.5
2006-01-03,-2.3256
2006-01-04,26.1905
2006-01-05,-1.1320999999999999
