ticker,MGTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-08,0.0
2018-06-11,0.0
2018-06-12,-2.8667
2018-06-13,-0.4461
2018-06-14,-0.0345
2018-06-15,-0.3448
2018-06-18,0.0
2018-06-19,0.6228
2018-06-20,-1.238
2018-06-21,-10.9331
2018-06-22,-6.9586
2018-06-25,-0.1681
2018-06-26,1.5993
2018-06-27,-1.3256000000000001
2018-06-28,-5.9614
2018-06-29,2.3214
2018-07-02,1.0471
2018-07-03,5.095
2018-07-05,0.0
2018-07-06,5.4232
2018-07-09,-2.5721
2018-07-10,-0.72
2018-07-11,-6.4464
2018-07-12,0.6891
2018-07-13,-9.923
2018-07-16,1.9943
2018-07-17,-1.5829
2018-07-18,-1.2299
2018-07-19,0.8621
2018-07-20,-4.2735
2018-07-23,1.1905000000000001
2018-07-24,-7.8431
2018-07-25,-11.7021
2018-07-26,-2.4096
2018-07-27,8.0247
2018-07-30,0.0
2018-07-31,5.2571
2018-08-01,-3.0402
2018-08-02,0.4479
2018-08-03,-0.6689
2018-08-06,-3.7037
2018-08-07,-0.9324
2018-08-08,0.9412
2018-08-09,6.8765
2018-08-10,-4.5802
2018-08-13,3.2
2018-08-14,-4.0975
2018-08-15,2.0785
2018-08-16,6.3347999999999995
2018-08-17,-1.1702
2018-08-20,-1.5070000000000001
2018-08-21,9.3989
2018-08-22,7.8921
2018-08-23,6.5741
2018-08-24,-2.2589
2018-08-27,3.6444
2018-08-28,-1.9726
2018-08-29,-0.4374
2018-08-30,2.7241
2018-08-31,-0.4277
2018-09-04,5.8419
2018-09-05,-0.2435
2018-09-06,-3.7429
2018-09-07,1.0989
2018-09-10,0.6689
2018-09-11,-3.6545
2018-09-12,-2.4138
2018-09-13,-0.265
2018-09-14,3.1001
2018-09-17,-1.6322999999999999
2018-09-18,1.31
2018-09-19,1.3793
2018-09-20,2.466
2018-09-21,8.2988
2018-09-24,1.6092
2018-09-25,-3.3937
2018-09-26,0.0
2018-09-27,3.8251
2018-09-28,2.2556
2018-10-01,-1.5441
2018-10-02,-0.1494
2018-10-03,0.8227
2018-10-04,-3.4125
2018-10-05,2.0737
2018-10-08,-0.2257
2018-10-09,0.6787
2018-10-10,-1.7978
2018-10-11,2.4409
2018-10-12,-0.4468
2018-10-15,4.712
2018-10-16,-0.0714
2018-10-17,-4.0029
2018-10-18,2.6061
2018-10-19,-3.7736
2018-10-22,-1.8854
2018-10-23,1.4604
2018-10-24,-1.5152
2018-10-25,3.0
