ticker,MLFB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-06-19,27.5
2006-06-20,21.5686
2006-06-21,14.5161
2006-06-22,1.4085
2006-06-23,4.1667
2006-06-26,-4.0
2006-06-27,1.3889
2006-06-28,5.4795
2006-06-29,-2.5974
2006-06-30,4.0
2006-07-03,-2.5641
2006-07-06,2.6316
2006-07-07,-1.2821
2006-07-10,5.1948
2006-07-11,-3.7037
2006-07-13,5.1282
2006-07-14,0.0
2006-07-17,-1.2195
2006-07-18,3.4568
2006-07-19,0.0
2006-07-20,0.2387
2006-07-21,0.0
2006-07-24,-2.6189999999999998
2006-07-25,-0.978
2006-07-26,7.4074
2006-07-27,-12.1265
2006-07-28,17.3333
2006-07-31,-9.0909
2006-08-01,-6.0
2006-08-02,0.0
2006-08-03,11.7021
2006-08-04,-9.5238
2006-08-07,5.2632
2006-08-08,-6.25
2006-08-09,6.4
2006-08-10,-11.0276
2006-08-11,-7.0423
2006-08-14,20.9091
2006-08-15,-24.812
2006-08-16,-3.3333
2006-08-17,-12.069
2006-08-18,1.9607999999999999
2006-08-21,-13.461500000000001
2006-08-22,-19.5556
2006-08-23,-0.5525
2006-08-24,1.1111
2006-08-25,-8.2418
2006-08-28,1.7964
2006-08-29,-5.8824
2006-08-31,-6.25
2006-09-01,-3.3333
2006-09-05,6.8966
2006-09-06,-9.6774
2006-09-08,15.7143
2006-09-11,0.0
2006-09-12,4.321
2006-09-13,0.5917
2006-09-14,-5.8824
2006-09-15,-11.875
2006-09-19,6.383
2006-09-20,-3.3333
2006-09-21,-3.4483
2006-09-22,0.0
2006-09-25,-4.2857
2006-09-26,0.0
2006-09-27,-6.7164
2006-09-28,12.0
2006-09-29,2.8571
2006-10-02,-9.7222
2006-10-03,-7.6923
2006-10-04,-5.0
2006-10-05,5.2632
2006-10-06,4.1667
2006-10-09,35.2
2006-10-10,-20.1183
2006-10-11,48.1481
2006-10-12,5.0
2006-10-13,14.2381
2006-10-16,-24.9687
2006-10-17,0.0
2006-10-18,-13.8889
2006-10-19,6.4516
2006-10-20,9.0909
2006-10-23,-2.7778
2006-10-24,-17.1429
2006-10-27,6.8966
2006-10-30,12.9032
2006-10-31,-22.8571
2006-11-01,7.4074
2006-11-02,10.3448
2006-11-03,-6.25
2006-11-06,0.0
2006-11-09,-10.0
2006-11-13,-3.7037
2006-11-14,-3.8462
2006-11-15,-8.0
2006-11-16,16.5217
2006-11-17,-6.7164
2006-11-20,-0.8
2006-11-21,0.8065
