ticker,FIFG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-07-14,25.0
2017-01-27,1620.0
2017-01-30,4.6512
2017-02-28,-11.1111
2017-03-03,0.0
2017-03-08,-17.5
2017-03-09,3.0303
2017-03-13,-35.2941
2017-03-15,80.9091
2017-03-17,-24.6168
2017-03-21,-0.0083
2017-03-22,6.6667
2017-03-23,3.125
2017-03-24,21.2121
2017-03-27,5.0
2017-03-28,-4.7619
2017-03-29,-2.5
2017-03-30,-2.5641
2017-03-31,0.0
2017-04-05,-21.0526
2017-04-06,6.6667
2017-04-07,0.0
2017-04-10,-12.5
2017-04-11,28.5714
2017-04-12,-16.6667
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,2.0
2017-04-20,-3.268
2017-04-21,8.1081
2017-04-24,3.125
2017-04-25,10.9091
2017-04-26,-22.9508
2017-04-27,2.8369
2017-04-28,13.7931
2017-05-01,-3.0303
2017-05-02,-12.5
2017-05-03,16.4286
2017-05-05,0.0
2017-05-08,-1.8405
2017-05-11,5.625
2017-05-12,1.7751000000000001
2017-05-15,-5.2326
2017-05-16,1.227
2017-05-17,15.1515
2017-05-18,5.2632
2017-05-19,0.0
2017-05-23,5.5
2017-05-24,-6.1137
2017-05-25,0.4543
2017-05-26,2.0101
2017-05-30,0.4926
2017-06-01,-6.8627
2017-06-06,13.1579
2017-06-08,-4.6512
2017-06-12,-0.1902
2017-06-14,-1.2756
2017-06-16,0.495
2017-06-22,0.9852
2017-06-23,0.0
2017-06-27,-2.9268
2017-06-29,-2.0101
2017-06-30,-2.9487
2017-07-06,-37.9445
2017-07-07,9.8433
2017-07-10,-15.5039
2017-07-11,-8.2569
2017-07-14,0.0
2017-07-24,-19.99
2017-07-28,-31.2586
2017-07-31,0.0
2017-08-01,-5.4545
2017-08-02,0.0
2017-08-03,3.4615
2017-08-07,33.829
2017-08-08,5.5556
2017-08-09,0.0
2017-08-11,-32.8947
2017-08-17,0.0
2017-08-18,4.0137
2017-09-14,1.7965
2017-09-19,-25.9259
2017-09-20,0.0
2017-09-27,0.0
2017-10-03,-12.5
2017-11-03,-14.2857
2017-11-06,0.0
2017-12-05,-33.3333
2017-12-06,-25.0
2017-12-08,66.6667
2017-12-19,-52.0
2017-12-20,108.3333
2017-12-21,0.0
2017-12-26,-44.0
2017-12-27,264.2857
2018-01-03,-60.7843
2018-01-04,18.35
2018-01-16,111.2379
2018-01-17,34.18
2018-01-18,16.2617
2018-01-19,14.1026
2018-01-22,-2.2472
