ticker,PHX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3898
2000-01-04,0.0
2000-01-07,-0.8772
2000-01-10,0.0
2000-01-13,0.885
2000-01-14,1.7544
2000-01-18,-1.7241
2000-01-19,8.7719
2000-01-31,-2.4194
2000-02-01,-0.8264
2000-02-03,0.0
2000-02-07,-0.7333
2000-02-08,1.6949
2000-02-09,-1.6667
2000-02-10,0.0
2000-02-11,3.3898
2000-02-14,-4.918
2000-02-15,0.0
2000-02-16,3.4483
2000-02-17,6.6667
2000-02-22,-2.3438
2000-02-23,-4.0
2000-02-25,1.6667
2000-02-29,-1.6393
2000-03-02,5.0
2000-03-03,0.0
2000-03-07,-4.7619
2000-03-08,0.0
2000-03-09,6.6667
2000-03-13,0.0
2000-03-14,-6.25
2000-03-15,3.3333
2000-03-16,-1.6129
2000-03-20,0.0
2000-03-21,3.2787
2000-03-22,0.0
2000-03-27,-1.5873
2000-03-28,-3.2258
2000-03-29,10.0
2000-03-31,-9.0909
2000-04-05,-1.6667
2000-04-07,0.0
2000-04-11,8.4746
2000-04-13,6.25
2000-04-14,-2.9412000000000003
2000-04-17,0.0
2000-04-18,-6.0606
2000-04-19,3.2258
2000-04-20,0.0
2000-04-25,0.0
2000-04-26,-4.6875
2000-04-27,-1.6393
2000-05-01,-1.6667
2000-05-02,0.0
2000-05-05,0.8475
2000-05-08,0.1008
2000-05-09,6.7797
2000-05-10,-6.3492
2000-05-11,8.4746
2000-05-16,0.0
2000-05-17,-1.5625
2000-05-18,1.5873
2000-05-24,0.0
2000-05-25,3.125
2000-05-26,-9.0909
2000-05-30,8.3333
2000-05-31,1.5385
2000-06-01,-3.0303
2000-06-02,0.0
2000-06-05,1.5625
2000-06-06,4.6154
2000-06-08,-1.4706000000000001
2000-06-09,1.4925
2000-06-12,0.0
2000-06-13,5.8824
2000-06-15,5.5556
2000-06-16,-2.6316
2000-06-19,1.3514
2000-06-20,-2.6667
2000-06-26,2.7397
2000-06-27,-4.0
2000-06-29,1.3889
2000-07-03,0.0
2000-07-05,-4.1096
2000-07-10,8.5714
2000-07-11,0.0
2000-07-12,0.0
2000-07-13,0.6579
2000-07-14,-0.6536
2000-07-17,2.6316
2000-07-18,1.2821
2000-07-19,-1.2658
2000-07-25,0.0
2000-07-26,2.5641
2000-07-28,-5.0
2000-08-02,5.2632
2000-08-03,-3.75
2000-08-07,4.6234
2000-08-08,-10.0
2000-08-09,2.7778
2000-08-10,6.7568
2000-08-11,-3.7975
