ticker,EVH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-05,10.9412
2015-06-08,1.1135
2015-06-09,-1.5732
2015-06-10,1.4917
2015-06-11,-2.9920999999999998
2015-06-12,-3.0303
2015-06-15,3.683
2015-06-16,-0.2691
2015-06-17,1.0254
2015-06-18,-3.0983
2015-06-19,1.8742999999999999
2015-06-22,-0.9199
2015-06-23,0.4369
2015-06-24,-0.87
2015-06-25,2.5782
2015-06-26,1.4439
2015-06-29,-0.6326
2015-06-30,3.4483
2015-07-01,0.5641
2015-07-02,4.0796
2015-07-06,-2.3028
2015-07-07,-3.5105
2015-07-08,-0.8316
2015-07-09,3.4591
2015-07-10,-0.4559
2015-07-13,0.5598
2015-07-14,2.1255
2015-07-15,-0.0991
2015-07-16,3.125
2015-07-17,3.0784
2015-07-20,-1.9132
2015-07-21,-1.2368999999999999
2015-07-22,-0.6744
2015-07-23,-3.0068
2015-07-24,-0.25
2015-07-27,2.0551
2015-07-28,3.2908
2015-07-29,2.1874000000000002
2015-07-30,-0.0465
2015-07-31,-0.6983
2015-08-03,0.8908
2015-08-04,3.1134
2015-08-05,1.4872
2015-08-06,-0.0888
2015-08-07,-2.0889
2015-08-10,-6.5365
2015-08-11,-4.8082
2015-08-12,1.7856999999999998
2015-08-13,-2.9073
2015-08-14,-1.1874
2015-08-17,4.9634
2015-08-18,1.3439999999999999
2015-08-19,-2.0629
2015-08-20,-2.1063
2015-08-21,-2.7152
2015-08-24,-3.2649
2015-08-25,-10.5063
2015-08-26,-2.1898
2015-08-27,1.6791
2015-08-28,5.0153
2015-08-31,-0.9901
2015-09-01,0.1176
2015-09-02,6.4042
2015-09-03,2.0431
2015-09-04,-1.461
2015-09-08,4.1186
2015-09-09,0.5802
2015-09-10,3.3036
2015-09-11,5.2284
2015-09-14,-3.4732
2015-09-15,2.1489
2015-09-16,0.7339
2015-09-17,0.2914
2015-09-18,-6.3438
2015-09-21,0.3102
2015-09-22,-1.2371
2015-09-23,-2.6618
2015-09-24,-4.3968
2015-09-25,-4.6551
2015-09-28,-6.2941
2015-09-29,-2.3854
2015-09-30,2.6367000000000003
2015-10-01,-1.5038
2015-10-02,2.6718
2015-10-05,-0.4957
2015-10-06,-4.1096
2015-10-07,0.6494
2015-10-08,0.5161
2015-10-09,-1.9255
2015-10-12,0.589
2015-10-13,-1.2362
2015-10-14,-0.527
2015-10-15,4.5033
2015-10-16,4.1825
2015-10-19,-2.6764
2015-10-20,-3.125
2015-10-21,1.0323
