ticker,KDMN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-07-27,-19.1667
2016-07-28,-1.0309
2016-07-29,-6.7708
2016-08-01,6.9274000000000004
2016-08-02,1.7764
2016-08-03,1.6427
2016-08-04,-0.202
2016-08-05,1.2146
2016-08-08,0.4
2016-08-09,-0.3984
2016-08-10,0.1
2016-08-11,-0.5994
2016-08-12,0.0
2016-08-15,2.3116
2016-08-16,0.4912
2016-08-17,-1.7705
2016-08-18,0.0112
2016-08-19,-0.796
2016-08-22,0.4012
2016-08-23,0.2997
2016-08-24,-0.3984
2016-08-25,0.4
2016-08-26,0.1992
2016-08-29,-0.2982
2016-08-30,-1.1964
2016-08-31,-1.6145
2016-09-01,-4.1026
2016-09-02,1.2833999999999999
2016-09-06,-2.4287
2016-09-07,0.974
2016-09-08,-0.4287
2016-09-09,-5.7051
2016-09-12,-5.1370000000000005
2016-09-13,-3.8508
2016-09-14,-2.7534
2016-09-15,-1.8018
2016-09-16,-3.4076
2016-09-19,5.9701
2016-09-20,3.073
2016-09-21,-1.7391
2016-09-22,-1.8963
2016-09-23,3.0928
2016-09-26,-4.0
2016-09-27,-4.9479
2016-09-28,1.3699
2016-09-29,-3.7838000000000003
2016-09-30,3.0899
2016-10-03,0.4087
2016-10-04,-1.3569
2016-10-05,0.4127
2016-10-06,-1.7808000000000002
2016-10-07,-1.5342
2016-10-10,-1.2748
2016-10-11,-4.5911
2016-10-12,0.4511
2016-10-13,-4.9401
2016-10-14,0.1575
2016-10-17,2.5157
2016-10-18,-0.1534
2016-10-19,-1.6897
2016-10-20,0.1563
2016-10-21,-1.8721
2016-10-24,1.4308
2016-10-25,-1.4107
2016-10-26,-0.9539
2016-10-27,-3.5313
2016-10-28,-15.9734
2016-10-31,-9.901
2016-11-01,3.5164999999999997
2016-11-02,-4.4586
2016-11-03,1.7778
2016-11-04,1.5284
2016-11-07,1.2903
2016-11-08,-0.6369
2016-11-09,17.094
2016-11-10,-0.9124
2016-11-11,20.8103
2016-11-14,1.5244
2016-11-15,-4.3544
2016-11-16,-4.2386
2016-11-17,0.1639
2016-11-18,-1.1457
2016-11-21,-3.1457
2016-11-22,-5.9829
2016-11-23,-0.3636
2016-11-25,0.0
2016-11-28,-1.6423
2016-11-29,-4.0816
2016-11-30,-3.4816
2016-12-01,-0.2004
2016-12-02,0.4016
2016-12-05,0.0
2016-12-06,4.6
2016-12-07,-4.2065
2016-12-08,-2.1955999999999998
2016-12-09,-2.0408
2016-12-12,-1.0417
