ticker,IICN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-19,7.3892
2006-09-20,3.211
2006-09-21,0.8889
2006-09-22,0.4405
2006-09-25,0.0
2006-09-26,0.4386
2006-09-27,-2.6201
2006-09-28,2.2422
2006-09-29,0.0
2006-10-02,-0.4386
2006-10-03,0.8811
2006-10-04,-1.7467000000000001
2006-10-05,0.0
2006-10-06,1.3333
2006-10-09,-0.4386
2006-10-10,0.0
2006-10-11,-1.7621
2006-10-12,1.3453
2006-10-13,0.0
2006-10-16,0.4425
2006-10-17,1.3216
2006-10-18,1.3043
2006-10-19,0.0
2006-10-20,0.0
2006-10-23,0.0
2006-10-24,0.8584
2006-10-25,1.7021
2006-10-26,0.8368
2006-10-27,1.2448
2006-10-30,0.4098
2006-10-31,0.4082
2006-11-01,0.4065
2006-11-02,0.0
2006-11-03,0.4049
2006-11-06,0.0
2006-11-07,0.8065
2006-11-08,0.0
2006-11-09,-2.0
2006-11-10,0.0
2006-11-13,1.6327
2006-11-14,1.2048
2006-11-15,0.0
2006-11-16,-0.7937
2006-11-17,-0.4
2006-11-20,0.0
2006-11-21,0.0
2006-11-22,2.008
2006-11-24,1.1811
2006-11-27,0.0
2006-11-28,0.3891
2006-11-29,0.7752
2006-11-30,0.0
2006-12-01,3.8462
2006-12-04,2.5926
2006-12-05,2.8881
2006-12-06,3.1579
2006-12-07,1.3605
2006-12-08,2.349
2006-12-11,6.2295
2006-12-12,10.4938
2006-12-13,-7.5419
2006-12-14,0.3021
2006-12-15,5.4217
2006-12-18,5.1429
2006-12-19,-8.6957
2006-12-20,4.7619
2006-12-21,1.9886
2006-12-22,2.2284
2006-12-26,0.8174
2006-12-27,-6.7568
2006-12-28,-0.2899
2006-12-29,1.1628
2007-01-03,1.1494
2007-01-04,0.0
2007-01-05,0.8523
2007-01-08,1.9718
2007-01-09,0.8287
2007-01-10,1.3699
2007-01-11,9.1892
2007-01-12,6.9307
2007-01-16,8.6806
2007-01-17,-26.3046
2007-01-18,-3.7572
2007-01-19,13.2132
2007-01-22,11.1406
2007-01-23,-4.2959
2007-01-24,-6.4838000000000005
2007-01-25,4.5333
2007-01-26,3.0612
2007-01-29,1.4851
2007-01-30,9.7561
2007-01-31,-6.6667
2007-02-01,2.8571
2007-02-02,3.7037
2007-02-05,4.6875
2007-02-06,2.9851
2007-02-07,-5.176
2007-02-08,-2.6201
2007-02-09,-4.9327
2007-02-12,0.4717
2007-02-13,1.4085
2007-02-14,-7.5231
