ticker,FSGB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-06-16,-1.9019
2003-06-30,0.0
2003-10-23,17.3469
2004-01-05,4.3478
2004-05-21,16.6667
2004-07-30,0.0
2004-08-02,-14.2857
2004-08-10,8.3333
2004-08-12,7.6923
2004-08-24,0.0
2004-08-30,7.1429
2005-01-12,100.0
2005-01-19,16.6667
2005-01-24,0.0
2005-02-01,0.0
2007-09-26,-27.1429
2007-12-26,-1.9607999999999999
2008-09-02,0.0
2009-01-20,-16.0
2009-09-21,-94.7619
2009-11-05,450.0
2009-11-06,5.7851
2009-11-17,9.375
2010-01-04,-14.2857
2010-04-09,-16.6667
2010-07-15,-29.4
2010-07-22,-22.0963
2010-08-23,-27.2727
2010-08-26,-11.0
2010-10-18,-11.7978
2010-11-30,43.3121
2010-12-01,0.0
2010-12-21,0.0
2011-01-05,0.0
2011-02-16,0.0
2011-03-02,-33.3333
2011-03-08,-12.0
2011-04-19,-1.5152
2011-04-27,34.6154
2011-07-13,-31.4286
2011-08-15,4.1667
2011-11-02,0.0
2011-12-15,-52.0
2012-04-26,0.0
2012-11-14,0.0
2014-07-10,183.3333
2016-02-11,2.9412000000000003
2016-02-12,14.2857
2016-03-22,50.0
2016-06-02,-21.3333
2016-06-23,0.0
2016-07-18,27.1186
2016-07-19,-20.0
2016-07-20,0.0
2016-08-26,35.4167
2016-08-29,38.4615
2016-09-01,-0.2222
2016-09-21,0.0
2017-05-24,-10.9131
2017-05-26,0.0
2017-05-30,0.0
2017-06-05,1.25
2017-07-28,2.4691
2017-12-13,3.6145
2018-01-16,2.3721
2018-01-17,2.2717
2018-01-22,11.0618
2018-01-23,5.0
2018-01-26,4.7619
2018-02-26,9.0909
2018-02-27,0.0
2018-03-09,8.3333
2018-05-21,23.0769
2018-06-12,12.5
2018-06-29,11.1111
2018-08-09,2.5
2018-09-07,0.0
2018-09-20,-2.3415
2018-09-21,52.3477
2018-11-01,-27.8689
2019-01-17,0.0
2019-01-18,-2.2727
2019-01-30,3.7209
2019-02-27,0.0
2019-03-07,0.0
2019-03-27,0.0897
2019-05-24,-0.0896
2019-06-18,0.0
2019-06-21,-3.5874
2019-09-20,16.2791
2020-02-27,4.0
2020-03-09,-0.6923
2020-04-07,-13.8652
2020-06-12,24.8201
2020-06-15,0.7925
2020-06-29,0.0
2020-06-30,0.0
