ticker,MOJO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-11-07,0.0
2009-02-17,0.0
2009-04-23,-60.0
2011-05-20,18650.0
2011-05-23,6.6667
2011-05-25,18.75
2011-05-26,0.0
2011-05-27,-5.2632
2011-06-08,-31.6667
2011-06-15,46.3415
2011-06-16,-0.1111
2011-06-17,0.1112
2011-06-20,-5.5556
2011-06-22,-5.8824
2011-06-24,12.5
2011-06-27,-22.2222
2011-06-29,7.1429
2011-06-30,5.3333
2011-07-01,-5.0633
2011-07-05,0.0
2011-07-07,0.0
2011-07-13,-20.0
2011-07-14,25.0
2011-07-15,-5.3333
2011-07-18,-1.4085
2011-07-19,-2.8571
2011-07-20,2.9412000000000003
2011-07-21,-2.8571
2011-07-22,-4.4118
2011-07-25,0.0
2011-07-26,4.6154
2011-07-27,1.4706000000000001
2011-07-29,-23.1884
2011-08-01,0.0
2011-08-02,22.6415
2011-08-03,-7.6923
2011-08-05,-5.0
2011-08-08,-12.2807
2011-08-09,2.0
2011-08-10,-31.3725
2011-08-11,54.2857
2011-08-12,0.0
2011-08-15,-7.4074
2011-08-16,0.0
2011-08-17,0.0
2011-08-18,-2.0
2011-08-22,-18.3673
2011-08-23,12.5
2011-08-25,-8.8889
2011-08-30,-2.439
2011-09-01,0.0
2011-09-02,-2.5
2011-09-06,-35.8974
2011-09-07,20.0
2011-09-08,0.0
2011-09-12,33.3333
2011-09-13,10.0
2011-09-14,0.0
2011-09-15,0.0
2011-09-16,-4.5455
2011-09-19,4.7619
2011-09-20,-9.0909
2011-09-21,17.5
2011-09-22,-14.8936
2011-09-23,0.0
2011-09-26,-10.0
2011-09-27,-2.7778
2011-09-28,11.4286
2011-09-29,-35.8974
2011-09-30,-8.0
2011-10-03,91.3043
2011-10-04,-9.0909
2011-10-05,-10.0
2011-10-06,-8.3333
2011-10-07,9.0909
2011-10-10,-11.1111
2011-10-11,3.125
2011-10-12,21.2121
2011-10-13,-15.0
2011-10-14,-2.9412000000000003
2011-10-17,-21.2121
2011-10-18,3.8462
2011-10-19,-11.4815
2011-10-20,-7.9498
2011-10-21,36.3636
2011-10-24,0.0
2011-10-25,-10.0
2011-10-26,11.1111
2011-10-27,-11.6667
2011-10-28,5.6604
2011-10-31,-10.7143
2011-11-01,-4.0
2011-11-02,25.0
2011-11-03,0.0
2011-11-04,0.0
2011-11-07,0.0
2011-11-08,16.6667
2011-11-09,11.4286
2011-11-10,-20.5128
2011-11-11,-3.2258
2011-11-14,16.6667
