ticker,AQMS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-31,7.0
2015-08-03,-6.0748
2015-08-04,-0.6965
2015-08-05,0.2004
2015-08-06,3.0
2015-08-07,5.2427
2015-08-10,-2.0295
2015-08-11,0.9416
2015-08-12,2.4254
2015-08-13,-2.3657
2015-08-14,1.4902
2015-08-17,1.1029
2015-08-18,0.0
2015-08-19,-5.6364
2015-08-20,-5.973
2015-08-21,2.459
2015-08-24,-4.4
2015-08-25,4.6025
2015-08-26,0.0
2015-08-27,-1.6
2015-08-28,5.6911000000000005
2015-08-31,-4.0385
2015-09-01,-2.8056
2015-09-02,-0.2062
2015-09-03,2.8926
2015-09-04,-0.4016
2015-09-08,2.2177
2015-09-09,0.3945
2015-09-10,-0.7859
2015-09-11,7.9208
2015-09-14,-3.4862
2015-09-15,-0.5703
2015-09-16,2.8681
2015-09-17,-0.0929
2015-09-18,-8.093
2015-09-21,1.417
2015-09-22,-2.1955999999999998
2015-09-23,1.6327
2015-09-24,-1.2048
2015-09-25,-0.4065
2015-09-28,-0.2041
2015-09-29,0.6135
2015-09-30,3.0488
2015-10-01,0.1972
2015-10-02,0.5906
2015-10-05,0.3914
2015-10-06,0.1949
2015-10-07,-2.7237
2015-10-08,1.2
2015-10-09,0.3953
2015-10-12,1.1811
2015-10-13,-2.7237
2015-10-14,3.8
2015-10-15,-1.9268
2015-10-16,1.6699000000000002
2015-10-19,-1.2536
2015-10-20,1.5631
2015-10-21,-5.5877
2015-10-22,-0.2041
2015-10-23,0.818
2015-10-26,2.4341
2015-10-27,-3.7624
2015-10-28,-0.2598
2015-10-29,2.7359999999999998
2015-10-30,0.4016
2015-11-02,-2.2
2015-11-03,2.454
2015-11-04,-0.1996
2015-11-05,-0.1825
2015-11-06,0.5836
2015-11-09,1.5936
2015-11-10,5.0466
2015-11-11,-3.1242
2015-11-12,2.1195
2015-11-13,-2.9245
2015-11-16,0.2915
2015-11-17,0.3876
2015-11-18,-3.4749
2015-11-19,0.8
2015-11-20,-0.9921
2015-11-23,1.4028
2015-11-24,1.3809
2015-11-25,-0.9698
2015-11-27,1.7691
2015-11-30,-2.3211
2015-12-01,2.1782
2015-12-02,0.1938
2015-12-03,0.0
2015-12-04,-0.3868
2015-12-07,-0.7767
2015-12-08,-0.7828
2015-12-09,-0.789
2015-12-10,1.1928
2015-12-11,0.5894
2015-12-14,0.0
2015-12-15,1.3672
2015-12-16,-2.5048
2015-12-17,0.2001
2015-12-18,-0.3969
