ticker,AFYA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-19,26.7895
2019-07-22,-2.2001
2019-07-23,4.0747
2019-07-24,11.9494
2019-07-25,0.765
2019-07-26,1.7715
2019-07-29,1.6696
2019-07-30,0.0
2019-07-31,1.0482
2019-08-01,-6.8811
2019-08-02,-0.3342
2019-08-05,-4.2846
2019-08-06,2.2577
2019-08-07,-3.8066
2019-08-08,0.831
2019-08-09,-2.237
2019-08-12,0.7226
2019-08-13,-0.1196
2019-08-14,-2.4342
2019-08-15,2.2086
2019-08-16,2.401
2019-08-19,5.6272
2019-08-20,4.6615
2019-08-21,0.1767
2019-08-22,7.6923
2019-08-23,-0.5898
2019-08-26,3.6915
2019-08-27,2.7336
2019-08-28,-2.0421
2019-08-29,-0.8528
2019-08-30,-30.2326
2019-09-03,13.4703
2019-09-04,-1.8511
2019-09-05,2.7880000000000003
2019-09-06,-2.0343
2019-09-09,-6.1075
2019-09-10,-1.6479
2019-09-11,0.1764
2019-09-12,4.1813
2019-09-13,1.4364
2019-09-16,-2.7489
2019-09-17,-0.9422
2019-09-18,-0.6917
2019-09-19,4.5712
2019-09-20,-1.4988000000000001
2019-09-23,-2.4937
2019-09-24,-1.9072
2019-09-25,1.0605
2019-09-26,2.7984
2019-09-27,7.2735
2019-09-30,1.6653
2019-10-01,-2.4961
2019-10-02,1.04
2019-10-03,2.692
2019-10-04,-0.2313
2019-10-07,0.3091
2019-10-08,-1.772
2019-10-09,-1.2549000000000001
2019-10-10,-0.3177
2019-10-11,1.5139
2019-10-14,-0.7457
2019-10-15,2.6888
2019-10-16,-0.154
2019-10-17,-0.5013
2019-10-18,-1.1628
2019-10-21,-0.7843
2019-10-22,-0.7115
2019-10-23,1.3535
2019-10-24,-1.0212
2019-10-25,2.2222
2019-10-28,4.309
2019-10-29,2.233
2019-10-30,-2.9487
2019-10-31,1.2753
2019-11-01,-1.9259
2019-11-04,1.3595
2019-11-05,1.155
2019-11-06,0.1105
2019-11-07,0.4047
2019-11-08,-1.0627
2019-11-11,2.1852
2019-11-12,-2.1385
2019-11-13,-1.7407
2019-11-14,2.2616
2019-11-15,1.9167
2019-11-18,0.651
2019-11-19,-0.6827
2019-11-20,1.6823000000000001
2019-11-21,0.0534
2019-11-22,-1.6714
2019-11-25,-1.5190000000000001
2019-11-26,-1.1017
2019-11-27,0.0
2019-11-29,2.2651
2019-12-02,6.7901
2019-12-03,-3.0602
2019-12-04,3.0866
2019-12-05,1.0888
2019-12-06,-1.279
