ticker,RMTD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-07,60.4167
2004-07-08,-14.2857
2004-07-09,-30.303
2004-07-12,-6.5217
2004-07-13,-16.2791
2004-07-14,-5.0
2004-07-15,-7.0175
2004-07-16,-4.9686
2004-07-19,5.2283
2004-07-20,-1.8868
2004-07-21,-3.8462
2004-07-22,-0.6667
2004-07-23,2.6846
2004-07-26,-0.6536
2004-07-27,-0.6579
2004-07-28,-1.3245
2004-07-29,-1.9463
2004-07-30,4.7228
2004-08-02,7.1895
2004-08-03,-15.8537
2004-08-04,15.942
2004-08-05,-1.8125
2004-08-06,-5.7925
2004-08-09,-1.3514
2004-08-10,1.3699
2004-08-11,-3.3784
2004-08-12,6.2937
2004-08-13,-8.5526
2004-08-16,0.0
2004-08-17,-13.6691
2004-08-18,-11.6667
2004-08-19,-2.8302
2004-08-20,-5.8252
2004-08-23,-5.1546
2004-08-24,5.4348
2004-08-25,8.2474
2004-08-26,-5.7143
2004-08-27,-4.0404
2004-08-30,-2.2105
2004-08-31,12.9171
2004-09-02,-10.3908
2004-09-03,-4.2553
2004-09-07,5.5556
2004-09-08,-5.2632
2004-09-09,3.3333
2004-09-10,-8.6022
2004-09-13,8.2353
2004-09-14,4.3478
2004-09-17,-6.4583
2004-09-27,3.5635
2004-09-28,-6.4516
2004-09-29,3.4483
2004-09-30,10.0
2004-10-01,0.0
2004-10-04,-10.101
2004-10-05,1.1236
2004-10-06,-2.2222
2004-10-07,0.0
2004-10-08,2.2727
2004-10-11,3.3333
2004-10-12,-7.5269
2004-10-13,15.1163
2004-10-14,0.0
2004-10-15,-2.0202
2004-10-18,1.0309
2004-10-19,-10.2041
2004-10-20,9.0909
2004-10-21,-1.0417
2004-10-22,2.1053
2004-10-25,-1.0309
2004-10-26,3.125
2004-10-27,0.0
2004-10-28,1.9192
2004-10-29,-8.8206
2004-11-01,-13.0435
2004-11-02,8.75
2004-11-03,1.1494
2004-11-04,3.4091
2004-11-05,-5.6044
2004-11-08,-1.0477
2004-11-09,5.8824
2004-11-10,10.0
2004-11-11,0.0
2004-11-12,-14.1414
2004-11-15,3.5294
2004-11-16,-11.3636
2004-11-17,6.4103
2004-11-18,-4.8193
2004-11-19,5.0633
2004-11-22,6.0241
2004-11-23,-5.6818
2004-11-24,2.4096
2004-11-26,1.1764999999999999
2004-11-29,-5.814
2004-11-30,4.9383
2004-12-01,-1.1764999999999999
2004-12-02,15.4762
2004-12-03,6.2887
2004-12-06,-3.0068
