ticker,SOL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-30,0.3849
2008-01-31,-4.0644
2008-02-01,3.1175
2008-02-04,5.814
2008-02-05,-1.3919000000000001
2008-02-06,-6.1664
2008-02-07,-7.7593
2008-02-08,-4.721
2008-02-11,2.2523
2008-02-12,-2.0264
2008-02-13,16.4568
2008-02-14,-0.7722
2008-02-15,-6.3812999999999995
2008-02-19,-1.9119000000000002
2008-02-20,-7.2034
2008-02-21,-8.5845
2008-02-22,12.8871
2008-02-25,2.5664
2008-02-26,-3.1924
2008-02-27,-2.7629
2008-02-28,-2.3830999999999998
2008-02-29,-0.1878
2008-03-03,-7.4318
2008-03-04,0.813
2008-03-05,1.9153
2008-03-06,-1.9782
2008-03-07,-7.6690000000000005
2008-03-10,-12.7869
2008-03-11,8.7719
2008-03-12,6.9124
2008-03-13,1.4009
2008-03-14,0.7439
2008-03-17,-13.5021
2008-03-18,28.7805
2008-03-19,-20.928
2008-03-20,-8.982
2008-03-24,6.9737
2008-03-25,16.2362
2008-03-26,5.0794
2008-03-27,22.9607
2008-03-28,-11.3022
2008-03-31,4.8938
2008-04-01,-1.6724999999999999
2008-04-02,9.5792
2008-04-03,-3.0229
2008-04-04,8.7616
2008-04-07,-6.8939
2008-04-08,0.416
2008-04-09,3.5625999999999998
2008-04-10,-1.28
2008-04-11,2.8363
2008-04-14,2.8369
2008-04-15,14.636
2008-04-16,3.4083
2008-04-17,-2.5202
2008-04-18,9.6154
2008-04-21,13.9746
2008-04-22,-3.3970000000000002
2008-04-23,-3.4615
2008-04-24,-1.7075
2008-04-25,6.1957
2008-04-28,-4.1439
2008-04-29,-6.1433
2008-04-30,1.5152
2008-05-01,-6.7463
2008-05-02,2.1119
2008-05-05,8.3394
2008-05-06,5.6134
2008-05-07,-6.5753
2008-05-08,2.2287
2008-05-09,11.8187
2008-05-12,-3.3864
2008-05-13,15.0823
2008-05-14,2.9072
2008-05-15,17.5336
2008-05-16,-0.6486
2008-05-19,6.7588
2008-05-20,-2.5899
2008-05-21,-5.8346
2008-05-22,-10.2353
2008-05-23,5.2862
2008-05-27,4.2324
2008-05-28,5.2946
2008-05-29,-11.3422
2008-05-30,6.951
2008-06-02,-5.941
2008-06-03,2.1195
2008-06-04,-4.2756
2008-06-05,5.5941
2008-06-06,-5.7084
2008-06-09,-10.453
2008-06-10,-4.4261
2008-06-11,-3.3079
2008-06-12,-9.3684
2008-06-13,3.3682
2008-06-16,12.3596
2008-06-17,3.85
