ticker,CAMP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,4.038
2000-01-04,5.9361
2000-01-05,1.7241
2000-01-06,-9.5339
2000-01-07,-0.4684
2000-01-10,5.8824
2000-01-11,-4.4444
2000-01-12,2.3256
2000-01-13,2.7273
2000-01-14,1.7699
2000-01-18,-1.9565000000000001
2000-01-19,14.4124
2000-01-20,6.0078
2000-01-21,-5.6673
2000-01-24,0.3876
2000-01-25,8.1081
2000-01-26,1.7856999999999998
2000-01-27,-0.3509
2000-01-28,-10.9155
2000-01-31,6.917
2000-02-01,0.0
2000-02-02,0.1848
2000-02-03,2.214
2000-02-04,5.0542
2000-02-07,3.7801
2000-02-08,5.9603
2000-02-09,-2.5
2000-02-10,7.6923
2000-02-11,-1.6369
2000-02-14,4.0847
2000-02-15,-3.343
2000-02-16,-5.2632
2000-02-17,10.7937
2000-02-18,-2.5788
2000-02-22,-0.2941
2000-02-23,-0.1475
2000-02-24,-6.647
2000-02-25,-10.1266
2000-02-28,8.0106
2000-02-29,17.6854
2000-03-01,4.4321
2000-03-02,-5.1724
2000-03-03,-7.9719999999999995
2000-03-06,5.7751
2000-03-07,0.2874
2000-03-08,1.0029
2000-03-09,11.4894
2000-03-10,-4.5802
2000-03-13,-1.2
2000-03-14,-5.5331
2000-03-15,-6.8571
2000-03-16,-2.454
2000-03-17,-0.6289
2000-03-20,-6.0127
2000-03-21,2.6936
2000-03-22,10.0
2000-03-23,-2.8316
2000-03-24,-1.227
2000-03-27,-0.1553
2000-03-28,-10.1089
2000-03-29,-0.346
2000-03-30,-12.1528
2000-03-31,-1.9763
2000-04-03,-10.8871
2000-04-04,-5.8824
2000-04-05,3.8462
2000-04-06,14.3519
2000-04-07,-9.7166
2000-04-10,-19.2825
2000-04-11,-10.0
2000-04-12,-13.5802
2000-04-13,13.2143
2000-04-14,-11.3565
2000-04-17,18.1495
2000-04-18,20.1807
2000-04-19,20.3008
2000-04-20,-17.5
2000-04-24,-0.5051
2000-04-25,0.5076
2000-04-26,-0.2525
2000-04-27,4.8101
2000-04-28,4.3478
2000-05-01,6.4815
2000-05-02,-4.5652
2000-05-03,-7.2893
2000-05-04,-4.6683
2000-05-05,4.3814
2000-05-08,-1.7284000000000002
2000-05-09,-0.7538
2000-05-10,-7.8481
2000-05-11,2.1978
2000-05-12,10.7527
2000-05-15,0.4854
2000-05-16,0.7246
2000-05-17,-0.2398
2000-05-18,-3.8462
2000-05-19,-3.0
2000-05-22,-9.2784
