ticker,HHER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-06-08,0.0
2013-04-11,-80.0
2013-04-15,300.0
2013-04-16,-5.0
2013-04-17,-10.526299999999999
2013-04-18,10.0
2013-04-24,-10.4278
2013-04-26,-17.9104
2013-04-29,7.2727
2013-04-30,5.0847
2013-05-01,4.8387
2013-05-02,-6.1538
2013-05-06,-3.2787
2013-05-07,11.8644
2013-05-08,21.2121
2013-05-09,16.25
2013-05-10,-13.9785
2013-05-13,12.5
2013-05-15,6.6667
2013-05-16,66.6667
2013-05-17,12.5
2013-05-20,-31.6667
2013-05-21,3.252
2013-05-22,-1.5748
2013-05-23,26.4
2013-05-24,-20.8861
2013-05-28,-8.0
2013-05-31,-30.4348
2013-06-03,-40.0
2013-06-04,0.0
2013-06-06,58.3333
2013-06-07,-2.6316
2013-06-10,-5.4054
2013-06-12,-21.4286
2013-06-14,0.0
2013-06-21,-27.2727
2013-06-27,-10.0
2013-06-28,11.1111
2013-07-10,-2.5
2013-07-11,1.5385
2013-07-12,0.0
2013-07-15,0.0
2013-07-16,-11.6162
2013-07-19,11.4286
2013-07-22,-2.5641
2013-07-24,-10.526299999999999
2013-07-26,-1.1764999999999999
2013-08-01,-1.7856999999999998
2013-08-09,142.4242
2013-08-12,-6.25
2013-08-13,-13.3333
2013-08-14,23.0769
2013-08-28,-25.0
2013-08-29,-23.3333
2013-08-30,-13.0435
2013-09-04,-12.5
2013-09-17,-14.2857
2013-09-18,-20.0
2013-09-19,16.6667
2013-09-23,0.0
2013-09-25,42.8571
2013-09-26,0.0
2013-10-01,-15.0
2013-10-18,11.7647
2013-10-23,5.2632
2013-10-24,0.0
2013-10-28,-2.5
2013-10-29,-2.0513
2013-10-30,-16.2304
2013-11-06,9.375
2013-11-08,-8.5714
2013-11-12,0.0
2013-12-09,6.25
2013-12-16,5.8824
2013-12-19,5.5556
2013-12-31,-13.1579
2014-01-03,6.0606
2014-01-06,2.8571
2014-01-07,7.7778
2014-01-14,-7.2165
2014-01-16,7.7778
2014-01-17,3.0928
2014-01-22,-5.0
2014-01-24,5.2632
2014-01-29,50.0
2014-01-31,31.6667
2014-02-03,0.0
2014-02-04,-11.3924
2014-02-05,-14.5714
2014-02-07,0.0
2014-02-10,0.3344
2014-02-13,-6.6667
2014-02-19,7.1429
2014-02-24,-10.0
2014-02-27,-2.2222
2014-03-05,-14.7727
2014-03-06,0.4444
2014-03-14,-7.0796
2014-03-17,2.3810000000000002
2014-03-28,-6.9767
