ticker,RSAU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-03-23,40.0
2005-03-28,14.2857
2005-04-08,56.25
2005-04-11,-12.0
2005-04-12,27.2727
2005-04-27,0.0
2005-05-02,-14.2857
2005-05-04,-12.5
2005-05-11,4.7619
2005-05-12,0.0
2005-05-16,9.0909
2005-05-17,4.1667
2005-05-18,-8.0
2005-05-19,8.6957
2005-05-20,10.4
2005-05-23,-5.0725
2005-05-24,-0.7634
2005-05-25,-3.8462
2005-05-27,-27.28
2005-05-31,11.1111
2005-06-06,-10.8911
2005-06-08,0.0
2005-06-09,-27.7778
2005-06-13,38.4615
2005-06-14,-22.2222
2005-06-20,45.0
2005-06-21,-0.4926
2005-06-22,0.9901
2005-06-23,-0.9804
2005-06-24,-10.8911
2005-06-27,12.2222
2005-07-01,-10.8911
2005-07-06,0.0
2005-07-07,5.5556
2005-07-11,-5.2632
2005-07-13,-27.7778
2005-07-25,-9.2308
2005-07-26,-6.7797
2005-07-29,-9.0909
2005-08-03,2.0
2005-08-15,7.8431
2005-08-18,0.0
2005-08-19,72.7273
2005-08-22,0.0
2005-08-24,-21.0526
2005-08-25,13.3333
2005-08-26,5.8824
2005-08-30,-5.5556
2005-09-09,-11.7647
2005-09-14,26.6667
2005-09-15,-36.8421
2005-09-16,25.0
2005-09-19,0.0
2005-09-20,0.0
2005-09-21,26.6667
2005-09-22,-20.0
2005-09-23,-1.3158
2005-09-27,-16.0
2005-10-12,28.5714
2005-10-13,-22.2222
2005-10-14,34.9206
2005-10-17,18.8235
2005-10-18,8.9109
2005-10-19,-24.5455
2005-10-24,2.4096
2005-11-03,1.1764999999999999
2005-11-07,4.6512
2005-11-08,-4.4444
2005-11-09,-18.6047
2005-11-11,7.1429
2005-11-14,-26.6667
2005-11-15,81.8182
2005-11-16,4.0
2005-11-17,2.8846
2005-11-18,2.8037
2005-11-21,1.8182
2005-11-22,4.4643
2005-11-23,3.4188
2005-11-25,3.3058
2005-11-28,0.0
2005-11-29,4.0
2005-11-30,3.8462
2005-12-01,2.963
2005-12-02,0.7194
2005-12-05,-0.6429
2005-12-06,2.0848
2005-12-07,-1.4085
2005-12-08,0.0
2005-12-09,0.7143
2005-12-12,-0.7092
2005-12-13,0.7143
2005-12-14,0.7092
2005-12-15,0.7042
2005-12-16,0.6993
2005-12-19,0.0
2005-12-20,1.3889
2005-12-21,0.0
2005-12-22,-0.6164
2005-12-23,0.6892
2005-12-27,-1.4374
2005-12-28,0.0694
2005-12-29,0.0
