ticker,LDOS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-13,21.2
2006-10-16,-0.385
2006-10-17,-0.7731
2006-10-18,-1.6694
2006-10-19,-2.2637
2006-10-20,3.3584
2006-10-23,-0.3361
2006-10-24,0.6183
2006-10-25,0.9497
2006-10-26,6.8622
2006-10-27,3.9358
2006-10-30,1.2955
2006-10-31,-1.6232
2006-11-01,-1.25
2006-11-02,-1.2152
2006-11-03,1.7427000000000001
2006-11-06,0.7053
2006-11-07,-0.1501
2006-11-08,-3.9078
2006-11-09,5.318
2006-11-10,-1.0396
2006-11-13,-0.5503
2006-11-14,0.3018
2006-11-15,0.4012
2006-11-16,0.2997
2006-11-17,-1.5438
2006-11-20,-1.3657
2006-11-21,-1.2308
2006-11-22,0.3634
2006-11-24,-0.8277
2006-11-27,-1.4085
2006-11-28,0.0
2006-11-29,0.7407
2006-11-30,-0.3676
2006-12-01,-0.7907
2006-12-04,-0.3188
2006-12-05,1.1727
2006-12-06,0.6322
2006-12-07,0.5759
2006-12-08,0.7288
2006-12-11,-2.0155
2006-12-12,4.0084
2006-12-13,-7.5051
2006-12-14,-1.5351
2006-12-15,4.1203
2006-12-18,-2.7807
2006-12-19,-1.5402
2006-12-20,0.2793
2006-12-21,-0.5571
2006-12-22,0.0
2006-12-26,-1.0084
2006-12-27,-0.9055
2006-12-28,1.3706
2006-12-29,0.2254
2007-01-03,2.1922
2007-01-04,-0.495
2007-01-05,-2.9851
2007-01-08,0.6268
2007-01-09,0.1133
2007-01-10,0.5656
2007-01-11,0.8999
2007-01-12,-1.0591
2007-01-16,-0.4507
2007-01-17,1.811
2007-01-18,-3.224
2007-01-19,1.5508
2007-01-22,2.2059
2007-01-23,0.9961
2007-01-24,0.1644
2007-01-25,0.3282
2007-01-26,0.5453
2007-01-29,0.3796
2007-01-30,0.8644
2007-01-31,-0.6427
2007-02-01,-2.1563
2007-02-02,1.5977999999999999
2007-02-05,0.6508
2007-02-06,-0.3233
2007-02-07,-1.2432
2007-02-08,2.2441
2007-02-09,-1.0707
2007-02-12,-2.6515
2007-02-13,0.0
2007-02-14,0.8894
2007-02-15,0.1102
2007-02-16,0.8806
2007-02-20,0.982
2007-02-21,-0.8104
2007-02-22,0.0
2007-02-23,-0.5447
2007-02-26,1.2596
2007-02-27,-2.3797
2007-02-28,-0.1108
2007-03-01,-0.2219
2007-03-02,-1.9455
2007-03-05,0.1701
2007-03-06,1.4148
2007-03-07,-0.4464
2007-03-08,-0.5045
