ticker,FWONA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-19,0.0
2016-04-20,-1.6816
2016-04-21,-0.6948
2016-04-22,0.7535
2016-04-25,-1.2286
2016-04-26,0.4867
2016-04-27,-0.915
2016-04-28,0.5432
2016-04-29,-1.1345
2016-05-02,2.459
2016-05-03,0.16
2016-05-04,1.3845
2016-05-05,1.5231
2016-05-06,0.4656
2016-05-09,-2.1627
2016-05-10,1.2631999999999999
2016-05-11,-0.8836
2016-05-12,-1.3634
2016-05-13,-0.9038
2016-05-16,0.6438
2016-05-17,0.0533
2016-05-18,-0.9057
2016-05-19,0.4301
2016-05-20,2.1413
2016-05-23,-0.4717
2016-05-24,2.1064
2016-05-25,0.6189
2016-05-26,0.5126
2016-05-27,1.1219
2016-05-31,-1.7650000000000001
2016-06-01,1.078
2016-06-02,2.1838
2016-06-03,-0.4473
2016-06-06,0.1498
2016-06-07,0.2742
2016-06-08,-1.6654
2016-06-09,-1.2639
2016-06-10,-3.789
2016-06-13,-1.8627
2016-06-14,0.6508
2016-06-15,0.3772
2016-06-16,0.2684
2016-06-17,-1.6059999999999999
2016-06-20,3.0468
2016-06-21,-1.7423
2016-06-22,-0.3224
2016-06-23,0.1078
2016-06-24,-1.454
2016-06-27,-2.459
2016-06-28,1.9607999999999999
2016-06-29,3.0769
2016-06-30,2.0256
2016-07-01,0.7837
2016-07-05,-1.296
2016-07-06,-0.2101
2016-07-07,1.0
2016-07-08,1.7196
2016-07-11,0.666
2016-07-12,1.2214
2016-07-13,-0.7039
2016-07-14,0.962
2016-07-15,0.7021
2016-07-18,2.6394
2016-07-19,0.9219
2016-07-20,-0.0481
2016-07-21,-0.0481
2016-07-22,2.1655
2016-07-25,-0.0471
2016-07-26,2.5448
2016-07-27,-0.6434
2016-07-28,-0.5088
2016-07-29,5.5323
2016-08-01,-1.1894
2016-08-02,-2.6304
2016-08-03,0.5495
2016-08-04,-0.2277
2016-08-05,0.0
2016-08-08,-0.3195
2016-08-09,0.3205
2016-08-10,0.0
2016-08-11,1.1867
2016-08-12,-1.3081
2016-08-15,0.777
2016-08-16,-0.8617
2016-08-17,0.2287
2016-08-18,0.5933
2016-08-19,-0.1361
2016-08-22,-1.2721
2016-08-23,0.3682
2016-08-24,-1.3755
2016-08-25,-1.1623
2016-08-26,-0.5174
2016-08-29,0.9456
2016-08-30,0.7494
2016-08-31,-0.5114
2016-09-01,-0.2804
2016-09-02,2.5305
2016-09-06,-0.457
2016-09-07,-0.0459
