ticker,PS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-17,33.3333
2018-05-18,4.4
2018-05-21,-4.1667
2018-05-22,-0.2999
2018-05-23,6.7669
2018-05-24,-0.2347
2018-05-25,0.8941
2018-05-29,0.6063
2018-05-30,2.179
2018-05-31,-2.3593
2018-06-01,2.4628
2018-06-04,7.7551
2018-06-05,-2.6515
2018-06-06,6.5716
2018-06-07,2.7586
2018-06-08,0.4343
2018-06-11,7.3899
2018-06-12,-3.1845
2018-06-13,-0.1512
2018-06-14,5.6797
2018-06-15,1.7198
2018-06-18,-0.4227
2018-06-19,-7.0746
2018-06-20,-5.177
2018-06-21,0.0401
2018-06-22,5.3772
2018-06-25,-3.2369
2018-06-26,-1.3774
2018-06-27,-3.751
2018-06-28,0.2902
2018-06-29,1.0748
2018-07-02,0.1227
2018-07-03,5.4739
2018-07-05,-0.1549
2018-07-06,0.3103
2018-07-09,-11.1756
2018-07-10,2.8298
2018-07-11,0.254
2018-07-12,1.7314
2018-07-13,-1.2453
2018-07-16,2.8583
2018-07-17,5.2718
2018-07-18,2.6009
2018-07-19,-5.9402
2018-07-20,-1.5688
2018-07-23,0.6947
2018-07-24,-0.974
2018-07-25,-0.082
2018-07-26,-1.5997
2018-07-27,-7.3781
2018-07-30,1.2601
2018-07-31,3.1556
2018-08-01,2.1542
2018-08-02,13.2434
2018-08-03,-1.3035
2018-08-06,2.0755
2018-08-07,-0.1109
2018-08-08,-0.037
2018-08-09,0.4073
2018-08-10,3.9823
2018-08-13,1.4894
2018-08-14,5.2061
2018-08-15,-2.8894
2018-08-16,7.5581
2018-08-17,-2.9889
2018-08-20,1.7370999999999999
2018-08-21,3.9626
2018-08-22,1.7663
2018-08-23,-2.6797
2018-08-24,4.0676
2018-08-27,0.5713
2018-08-28,-0.6577
2018-08-29,1.1135
2018-08-30,0.0
2018-08-31,1.6964000000000001
2018-09-04,2.1656
2018-09-05,-0.5729
2018-09-06,0.605
2018-09-07,1.2314
2018-09-10,3.0552
2018-09-11,2.6352
2018-09-12,-2.3803
2018-09-13,-1.2328999999999999
2018-09-14,1.8585
2018-09-17,-8.6329
2018-09-18,-0.7452
2018-09-19,-3.6936999999999998
2018-09-20,2.1827
2018-09-21,0.7629
2018-09-24,-1.0297
2018-09-25,-3.4884
2018-09-26,1.4268
2018-09-27,-0.0625
2018-09-28,0.0938
2018-10-01,-2.8125
2018-10-02,-6.0772
2018-10-03,-0.7532
2018-10-04,-7.5198
2018-10-05,-1.2309
