ticker,IBTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-03,12.9231
2013-04-04,-1.9074
2013-04-05,-0.6944
2013-04-08,-0.8741
2013-04-09,2.0459
2013-04-10,0.0346
2013-04-11,0.1382
2013-04-12,-0.7937
2013-04-15,-1.7739
2013-04-16,-0.3187
2013-04-17,0.1776
2013-04-18,2.766
2013-04-19,-2.795
2013-04-22,-0.5325
2013-04-23,1.1777
2013-04-24,1.3757
2013-04-25,-0.4175
2013-04-26,-1.3277
2013-04-29,1.0977
2013-04-30,-0.035
2013-05-01,-0.9811
2013-05-02,1.557
2013-05-03,0.6272
2013-05-06,-0.277
2013-05-07,0.3472
2013-05-08,0.0
2013-05-09,-0.173
2013-05-10,0.5199
2013-05-13,-0.6897
2013-05-14,0.6944
2013-05-15,0.3448
2013-05-16,-1.0653
2013-05-17,2.1188
2013-05-20,-1.2585
2013-05-21,-0.1378
2013-05-22,-0.5519
2013-05-23,-2.0118
2013-05-24,0.0708
2013-05-28,0.4952
2013-05-29,0.6688
2013-05-30,-0.4895
2013-05-31,-0.2108
2013-06-03,-0.2465
2013-06-04,-0.353
2013-06-05,0.7793
2013-06-06,0.0351
2013-06-07,1.4055
2013-06-10,1.3167
2013-06-11,-0.6156
2013-06-12,0.1032
2013-06-13,0.55
2013-06-14,0.5128
2013-06-17,1.7006999999999999
2013-06-18,2.6756
2013-06-19,0.2932
2013-06-20,0.9094
2013-06-21,-1.0621
2013-06-24,-0.7807
2013-06-25,-0.5574
2013-06-26,-0.3297
2013-06-27,0.5624
2013-06-28,0.0
2013-07-01,-0.0987
2013-07-02,-2.5025
2013-07-03,0.7768
2013-07-05,-0.5697
2013-07-08,1.8874
2013-07-09,2.8449
2013-07-10,-0.1608
2013-07-11,1.8041
2013-07-12,0.2532
2013-07-15,-0.0631
2013-07-16,1.8951
2013-07-17,-2.1389
2013-07-18,1.267
2013-07-19,0.6256
2013-07-22,0.9947
2013-07-23,-0.7387
2013-07-24,0.6202
2013-07-25,1.4176
2013-07-26,0.79
2013-07-29,-0.1507
2013-07-30,2.5362
2013-07-31,2.4146
2013-08-01,2.8752
2013-08-02,2.6551
2013-08-05,0.6806
2013-08-06,-3.9210000000000003
2013-08-07,-2.899
2013-08-08,0.2609
2013-08-09,-1.7057
2013-08-12,-0.2353
2013-08-13,0.4422
2013-08-14,-0.2642
2013-08-15,-1.0594
2013-08-16,0.2082
2013-08-19,0.7421
2013-08-20,0.1473
2013-08-21,0.4716
2013-08-22,-0.264
