ticker,QYBX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-16,0.0
2008-04-21,-22.2222
2008-04-25,4.7619
2008-04-28,8.1818
2008-04-30,0.8403
2008-05-07,-50.0
2008-05-08,-15.0
2008-05-09,47.0588
2008-05-13,-32.0
2008-05-15,17.647100000000002
2008-05-16,1.6667
2008-05-20,39.3443
2008-05-21,-11.7647
2008-05-22,-2.6667
2008-05-23,2.7397
2008-05-27,-16.0
2008-05-28,6.3492
2008-05-29,-2.9851
2008-05-30,7.6923
2008-06-04,-28.5714
2008-06-05,36.0
2008-06-06,-1.4706000000000001
2008-06-09,-32.8358
2008-06-12,51.1111
2008-06-16,-7.3529
2008-06-17,0.0
2008-06-18,-34.8413
2008-06-19,33.9829
2008-07-15,-36.3636
2008-07-22,-11.4286
2008-07-24,119.3548
2008-07-25,-17.5
2008-07-28,-7.3084
2008-07-29,-3.8462
2008-07-30,0.0
2008-07-31,0.0
2008-08-01,6.0
2008-08-05,7.5472
2008-08-06,-12.2807
2008-08-08,-20.0
2008-08-11,0.0
2008-08-12,0.0
2008-08-13,-2.5
2008-08-15,2.5641
2008-08-20,-37.5
2008-08-21,0.0
2008-08-26,0.0
2008-08-27,60.0
2008-08-28,0.0
2008-09-02,70.0
2008-09-03,-4.4118
2008-09-04,-46.1538
2008-09-05,2.8571
2008-09-09,50.0
2008-09-11,-1.8519
2008-09-12,-3.7736
2008-09-16,-11.7647
2008-09-19,0.0
2008-09-23,-60.0
2008-09-24,150.0
2008-09-26,2.2222
2008-09-29,-28.2609
2008-10-01,-45.4545
2008-10-02,66.6667
2008-10-03,6.6667
2008-10-06,-21.875
2008-10-08,0.0
2008-10-13,-12.0
2008-10-20,59.0909
2008-10-22,0.0
2008-10-29,0.0
2008-11-11,48.5714
2008-11-13,-61.5385
2008-11-14,152.5
2008-11-17,-0.9901
2008-12-05,0.0
2008-12-08,0.0
2008-12-09,-56.0
2008-12-10,131.8182
2008-12-11,-52.9412
2008-12-12,-8.3333
2008-12-16,81.8182
2008-12-18,0.0
2008-12-26,0.0
2008-12-30,-57.5
2009-01-02,105.8824
2009-01-16,28.5714
2009-01-27,0.0
2009-02-04,0.0
2009-02-18,-60.0
2009-02-24,-33.3333
2009-02-25,0.0
2009-03-06,233.3333
2009-03-19,-70.0
2009-03-20,233.3333
2009-03-23,-2.5
2009-04-23,-61.5385
2009-04-24,0.0
2009-04-27,-33.3333
2009-04-28,0.0
2009-04-29,0.0
2009-04-30,-20.0
