ticker,RDWD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-03-24,-3.3784
2003-04-23,18.8811
2003-04-24,0.0
2003-04-29,2.9412000000000003
2003-05-13,-2.8571
2003-05-14,1.1764999999999999
2003-05-19,-6.9767
2003-05-21,9.375
2003-05-22,0.0
2003-05-23,-11.4286
2003-06-10,0.0
2003-06-13,-3.2258
2003-06-18,9.6667
2003-06-27,-8.8146
2003-07-02,0.0
2003-07-10,10.0
2003-07-14,3.0303
2003-07-15,-8.8235
2003-07-18,-16.129
2003-07-21,-34.6154
2003-07-22,58.8235
2003-07-23,20.7407
2003-07-24,1.227
2003-07-28,-1.8182
2003-07-29,-7.4074
2003-07-30,4.6667
2003-07-31,-13.3758
2003-08-04,21.3235
2003-08-05,-3.0303
2003-08-06,-3.125
2003-08-07,-48.3871
2003-08-08,81.25
2003-08-11,-20.6897
2003-08-12,17.3913
2003-08-13,-14.8148
2003-08-14,8.6957
2003-08-15,-3.2
2003-08-19,-0.8264
2003-08-21,-8.3333
2003-08-25,0.0
2003-09-02,-4.5455
2003-09-04,-37.1429
2003-09-05,51.5152
2003-09-09,-25.0
2003-09-11,60.0
2003-09-16,-8.3333
2003-09-17,-31.8182
2003-09-18,-8.0
2003-09-19,10.8696
2003-09-22,30.719
2003-09-23,-4.3
2003-09-24,3.4483
2003-09-25,-33.3333
2003-09-26,50.0
2003-10-01,2.0202
2003-10-02,-25.7426
2003-10-06,1.3333
2003-10-07,-1.3158
2003-10-08,-10.6667
2003-10-09,4.4776
2003-10-10,7.1429
2003-10-13,20.0
2003-10-14,-11.1111
2003-10-15,18.75
2003-10-20,0.0
2003-10-21,17.8947
2003-10-22,13.392900000000001
2003-10-23,5.5118
2003-10-24,13.6567
2003-10-27,37.8858
2003-10-28,-19.5238
2003-10-29,-31.9527
2003-10-30,-1.7391
2003-10-31,2.6549
2003-11-03,12.069
2003-11-04,7.6923
2003-11-05,-12.1429
2003-11-06,4.065
2003-11-07,-2.3438
2003-11-10,0.0
2003-11-11,-2.4
2003-11-12,-9.8361
2003-11-13,-9.0909
2003-11-14,-12.0
2003-11-17,-26.1364
2003-11-18,12.3077
2003-11-19,12.3288
2003-11-20,1.2195
2003-11-21,-7.2289
2003-11-24,2.5974
2003-11-25,-33.5443
2003-11-26,-14.2857
2003-11-28,22.2222
2003-12-01,-1.8182
2003-12-02,-9.2593
2003-12-03,-2.0408
2003-12-04,0.0
2003-12-05,7.2917
2003-12-08,-4.8544
2003-12-09,-2.0408
