ticker,SDRMU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-04-18,1.1905000000000001
2012-04-19,2.3529
2012-04-20,1.1494
2012-04-23,0.0455
2012-04-24,-0.0454
2012-04-25,0.1818
2012-04-26,3.539
2012-04-27,3.9439
2012-04-30,-2.7155
2012-05-01,1.1446
2012-05-02,-4.2844999999999995
2012-05-03,-1.5219
2012-05-04,2.4091
2012-05-07,-0.5326
2012-05-08,-1.8742
2012-05-09,-1.0914
2012-05-10,1.2873999999999999
2012-05-11,1.6692
2012-05-14,-2.8468
2012-05-15,-2.6047000000000002
2012-05-16,-1.6714
2012-05-17,-2.8169
2012-05-18,-3.3483
2012-05-21,3.6711
2012-05-22,-0.2494
2012-05-23,1.8
2012-05-24,0.3929
2012-05-25,0.6849
2012-05-29,0.0486
2012-05-30,-1.7970000000000002
2012-05-31,0.0
2012-06-01,-1.5826
2012-06-04,-4.8241
2012-06-05,2.6927
2012-06-06,3.6504
2012-06-07,-1.3889
2012-06-08,1.6600000000000001
2012-06-11,-1.7318
2012-06-12,-1.3092
2012-06-13,-1.6327
2012-06-14,0.778
2012-06-15,-1.3896
2012-06-18,-3.4447
2012-06-19,0.9189
2012-06-20,-0.1607
2012-06-21,-4.2918
2012-06-22,1.7377
2012-06-25,-0.1102
2012-06-26,0.0
2012-06-27,2.0408
2012-06-28,0.8108
2012-06-29,1.3405
2012-07-02,-0.3175
2012-07-03,3.5032
2012-07-05,1.4359
2012-07-06,0.6572
2012-07-09,0.7032
2012-07-10,-0.798
2012-07-11,0.0
2012-07-12,0.553
2012-07-13,1.7
2012-07-16,-0.0891
2012-07-17,0.6797
2012-07-18,0.0978
2012-07-19,1.5625
2012-07-20,-1.0577
2012-07-23,-1.3071
2012-07-24,-0.0542
2012-07-25,0.6897
2012-07-26,1.5166
2012-07-27,-0.0964
2012-07-30,0.9648
2012-07-31,-0.8122
2012-08-01,0.0
2012-08-02,-1.3969
2012-08-03,0.1954
2012-08-06,0.8289
2012-08-07,0.7737
2012-08-08,-0.7198
2012-08-09,0.435
2012-08-10,0.179
2012-08-13,0.3937
2012-08-14,-1.1275
2012-08-15,0.0992
2012-08-16,0.6439
2012-08-17,0.0984
2012-08-20,-0.4916
2012-08-21,0.0
2012-08-22,-0.1976
2012-08-23,0.6436
2012-08-24,1.0821
2012-08-27,-0.2433
2012-08-28,0.5366
2012-08-29,0.4367
2012-08-30,-0.1932
2012-08-31,0.726
2012-09-04,-0.913
2012-09-05,0.5335
2012-09-06,0.2412
