ticker,AEGG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-12-10,14.2857
2004-12-20,0.0
2004-12-22,25.0
2004-12-30,70.0
2004-12-31,5.8824
2005-01-04,12.2222
2005-01-05,0.0
2005-01-07,-15.8416
2005-01-11,5.8824
2005-01-12,-13.3333
2005-01-13,29.4872
2005-01-14,-2.9703
2005-01-18,42.8571
2005-01-19,-10.7143
2005-01-24,-4.0
2005-01-25,3.3333
2005-01-26,0.0
2005-01-27,20.9677
2005-01-31,-6.6667
2005-02-01,-7.1429
2005-02-02,-11.538499999999999
2005-02-03,6.087
2005-02-04,-0.8197
2005-02-07,0.0
2005-02-08,-1.6529
2005-02-09,-3.3613
2005-02-10,0.0
2005-02-11,0.8696
2005-02-14,-5.1724
2005-02-15,0.9091
2005-02-16,3.6036
2005-02-17,13.913
2005-02-18,-15.2672
2005-02-22,8.1081
2005-02-23,0.0
2005-02-24,-7.5
2005-02-25,0.0
2005-02-28,4.5045
2005-03-01,-12.931000000000001
2005-03-02,1.9802
2005-03-03,16.5049
2005-03-04,0.8333
2005-03-07,0.8264
2005-03-08,-1.6393
2005-03-09,2.5
2005-03-10,-2.439
2005-03-11,12.5
2005-03-14,3.7037
2005-03-15,-10.7143
2005-03-16,-2.4
2005-03-17,-1.6393
2005-03-18,0.0
2005-03-22,-16.6667
2005-03-23,10.0
2005-03-24,1.8182
2005-03-28,-1.7856999999999998
2005-03-29,-9.0909
2005-03-30,4.0
2005-03-31,5.7692
2005-04-01,8.1818
2005-04-04,-15.9664
2005-04-05,-15.0
2005-04-06,18.8235
2005-04-07,-1.9802
2005-04-08,6.0606
2005-04-11,-35.2381
2005-04-12,-26.4706
2005-04-13,30.0
2005-04-14,15.3846
2005-04-15,-1.3333
2005-04-18,0.0
2005-04-19,1.3514
2005-04-20,-13.3333
2005-04-21,3.0769
2005-04-22,0.0
2005-04-25,26.8657
2005-04-27,3.5294
2005-04-28,0.0
2005-04-29,18.1818
2005-05-02,2.8846
2005-05-03,16.822400000000002
2005-05-04,7.2
2005-05-05,2.2388
2005-05-06,0.0
2005-05-09,13.1387
2005-05-10,8.3871
2005-05-11,15.4762
2005-05-12,-2.0619
2005-05-13,5.2632
2005-05-16,2.5
2005-05-17,1.4634
2005-05-18,33.6538
2005-05-19,2.518
2005-05-20,-11.2281
2005-05-23,0.7905
2005-05-24,0.3922
2005-05-25,-12.1094
2005-05-26,1.3333
2005-05-27,2.6316
2005-05-31,-10.2564
2005-06-01,0.0
