ticker,RM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-28,9.6667
2012-03-29,1.9453
2012-03-30,0.1789
2012-04-02,2.4405
2012-04-03,-2.0918
2012-04-04,-2.6113
2012-04-05,-2.1938
2012-04-09,-1.8692
2012-04-10,-1.9048
2012-04-11,1.4887000000000001
2012-04-12,1.4031
2012-04-13,0.6918
2012-04-16,-1.4365999999999999
2012-04-17,-1.0773
2012-04-18,-0.8969
2012-04-19,-0.0646
2012-04-20,2.0052
2012-04-23,1.4585
2012-04-24,-1.25
2012-04-25,0.6329
2012-04-26,-0.5031
2012-04-27,3.3502
2012-04-30,3.4251
2012-05-01,0.8279
2012-05-02,0.0
2012-05-03,-1.4076
2012-05-04,-1.4277
2012-05-07,-0.1207
2012-05-08,-0.7855
2012-05-09,-0.5481
2012-05-10,0.1225
2012-05-11,-0.7339
2012-05-14,-2.0333
2012-05-15,0.9434
2012-05-16,-2.4922
2012-05-17,-5.8786000000000005
2012-05-18,-1.833
2012-05-21,3.527
2012-05-22,-3.34
2012-05-23,1.6585999999999999
2012-05-24,0.3399
2012-05-25,0.9485
2012-05-29,-1.8792
2012-05-30,-2.4624
2012-05-31,3.4362
2012-06-01,-1.6949
2012-06-04,-2.069
2012-06-05,-1.1972
2012-06-06,-0.784
2012-06-07,-1.8678
2012-06-08,0.0732
2012-06-11,-4.4623
2012-06-12,3.9816000000000003
2012-06-13,-0.5891
2012-06-14,1.5556
2012-06-15,-0.2918
2012-06-18,0.5852
2012-06-19,3.9273
2012-06-20,7.0679
2012-06-21,0.3922
2012-06-22,-0.0651
2012-06-25,6.7101
2012-06-26,-0.4884
2012-06-27,-2.5766999999999998
2012-06-28,2.33
2012-06-29,1.2308
2012-07-02,-2.7356
2012-07-03,-0.3125
2012-07-05,0.2508
2012-07-06,-1.5009000000000001
2012-07-09,2.1587
2012-07-10,0.0
2012-07-11,-0.6837
2012-07-12,-2.7534
2012-07-13,6.435
2012-07-16,-2.5393
2012-07-17,0.4342
2012-07-18,0.6177
2012-07-19,-3.3763
2012-07-20,-4.4473
2012-07-23,-0.133
2012-07-24,-1.3981
2012-07-25,1.7556
2012-07-26,2.8534
2012-07-27,2.2580999999999998
2012-07-30,-3.6593
2012-07-31,-1.1788
2012-08-01,-0.1988
2012-08-02,7.6361
2012-08-03,3.9482
2012-08-06,-3.0267
2012-08-07,-4.2228
2012-08-08,4.8562
2012-08-09,3.5343999999999998
2012-08-10,-2.8252
2012-08-13,-2.4833
