ticker,CLEU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-05-08,-18.3333
2020-05-11,-18.1633
2020-05-12,-5.8603
2020-05-13,2.7815
2020-05-14,5.9304
2020-05-15,4.8636
2020-05-18,-3.7123
2020-05-19,-1.2024
2020-05-20,7.8022
2020-05-21,3.3937
2020-05-22,8.7527
2020-05-26,-11.4688
2020-05-27,-3.4091
2020-05-28,-1.4118
2020-05-29,-14.0811
2020-06-01,1.3889
2020-06-02,3.011
2020-06-03,0.0027
2020-06-04,0.5319
2020-06-05,-0.3968
2020-06-08,4.3825
2020-06-09,2.799
2020-06-10,-2.4752
2020-06-11,21.8274
2020-06-12,4.375
2020-06-15,-2.1955999999999998
2020-06-16,-2.2449
2020-06-17,-3.9666
2020-06-18,2.8261
2020-06-19,1.6554
2020-06-22,8.5623
2020-06-23,-10.9195
2020-06-24,2.1505
2020-06-25,1.2631999999999999
2020-06-26,-4.7817
2020-06-29,3.7118
2020-06-30,1.2631999999999999
2020-07-01,-0.6237
2020-07-02,-2.7197
2020-07-06,4.086
2020-07-07,-2.2748
2020-07-08,-7.3976
2020-07-09,-12.1005
2020-07-10,23.1143
2020-07-13,-5.0613
2020-07-14,14.2222
2020-07-15,-6.5739
2020-07-16,1.2057
2020-07-17,-7.6132
2020-07-20,-10.6904
2020-07-21,7.2494
2020-07-22,-5.8293
2020-07-23,0.2469
2020-07-24,-3.3251
2020-07-27,3.9847
2020-07-28,-4.3907
2020-07-29,-2.8753
2020-07-30,1.3193
2020-07-31,-3.5911
