ticker,LBUY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-18,21.4286
2017-04-20,0.0
2017-04-27,-17.5294
2017-04-28,21.2553
2017-05-01,76.4706
2017-05-02,-40.0
2017-05-04,11.1111
2017-05-05,-4.725
2017-05-08,-2.9126
2017-05-09,3.0
2017-05-19,-16.5049
2017-05-25,4.6512
2017-05-26,12.2222
2017-05-30,23.7624
2017-05-31,-16.0
2017-06-02,-1.9048
2017-06-05,-2.9126
2017-06-06,5.0
2017-06-07,0.9524
2017-06-09,-5.6604
2017-06-12,0.0
2017-06-14,7.0
2017-06-15,0.0
2017-06-16,0.9346
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,-0.9259
2017-06-22,4.6729
2017-06-23,0.0
2017-06-26,0.0
2017-06-27,0.0
2017-06-29,-8.0357
2017-06-30,1.9417
2017-07-03,0.9429
2017-07-05,0.0094
2017-07-06,-0.9434
2017-07-07,0.0
2017-07-10,3.8095
2017-07-11,0.9174
2017-07-12,-0.9091
2017-07-13,5.5046
2017-07-14,0.8696
2017-07-17,9.4828
2017-07-18,0.0
2017-07-19,-1.5748
2017-07-20,1.6
2017-07-21,1.5748
2017-07-24,6.2016
2017-07-25,3.5766
2017-07-26,2.8894
2017-07-27,5.4795
2017-07-28,5.5195
2017-07-31,-7.6923
2017-08-01,11.3333
2017-08-02,7.7844
2017-08-03,31.6667
2017-08-04,-13.9241
2017-08-07,0.4902
2017-08-08,1.9512
2017-08-09,-0.9569
2017-08-10,0.0
2017-08-11,-3.7923
2017-08-14,-3.0881
2017-08-15,2.0725
2017-08-16,3.5533
2017-08-17,3.9215999999999998
2017-08-18,1.4151
2017-08-21,2.3256
2017-08-22,6.3636
2017-08-23,13.2479
2017-08-24,36.2264
2017-08-25,-14.5319
2017-08-28,-4.7125
2017-08-29,-23.4694
2017-08-30,11.1111
2017-08-31,2.4
2017-09-01,3.9063
2017-09-05,0.0
2017-09-06,7.5188
2017-09-07,-1.3986
2017-09-08,2.8369
2017-09-11,0.0
2017-09-12,-1.3793
2017-09-13,-1.049
2017-09-14,-2.1201
2017-09-15,-3.2491
2017-09-18,-8.5821
2017-09-19,1.6327
2017-09-20,2.4096
2017-09-21,7.451
2017-09-22,-1.4599
2017-09-25,-2.963
2017-09-26,-9.542
2017-09-27,3.3755
2017-09-28,0.0
2017-09-29,-6.9388
2017-10-02,2.6316
2017-10-03,-1.2821
2017-10-04,-4.329
2017-10-05,-6.7873
2017-10-06,-15.534
2017-10-09,-6.8966
