ticker,EXR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-08-12,0.0
2004-08-13,0.0
2004-08-16,0.0
2004-08-17,0.08
2004-08-18,0.0
2004-08-19,0.1599
2004-08-20,0.1596
2004-08-23,0.0
2004-08-24,3.4263
2004-08-25,0.1541
2004-08-26,2.9231
2004-08-27,0.5232
2004-08-30,0.223
2004-08-31,2.3739
2004-09-01,-1.087
2004-09-02,1.0256
2004-09-03,-1.0152
2004-09-07,1.0989
2004-09-08,-1.087
2004-09-09,-1.1722
2004-09-10,0.8154
2004-09-13,1.6272
2004-09-14,-1.4588
2004-09-15,-1.1843
2004-09-16,-0.1498
2004-09-17,2.3256
2004-09-20,-2.1261
2004-09-21,0.8989
2004-09-22,0.2227
2004-09-23,-1.5556
2004-09-24,1.5800999999999998
2004-09-27,-3.3333
2004-09-28,-1.0728
2004-09-29,-0.2324
2004-09-30,-1.0093
2004-10-01,1.9607999999999999
2004-10-04,-0.4615
2004-10-05,-0.6182
2004-10-06,1.8662999999999998
2004-10-07,-0.6107
2004-10-08,1.5361
2004-10-11,-0.9077
2004-10-12,0.0
2004-10-13,-1.0687
2004-10-14,0.7716
2004-10-15,-0.6126
2004-10-18,1.0786
2004-10-19,-0.5335
2004-10-20,0.3831
2004-10-21,2.1374
2004-10-22,-0.5979
2004-10-25,0.0
2004-10-26,1.8797000000000001
2004-10-27,2.583
2004-10-28,0.1439
2004-10-29,-0.431
2004-11-01,-0.8658
2004-11-02,0.8734
2004-11-03,0.2886
2004-11-04,0.7194
2004-11-05,0.3571
2004-11-08,0.0
2004-11-09,0.2135
2004-11-10,0.3551
2004-11-11,0.1415
2004-11-12,-0.3534
2004-11-15,1.7730000000000001
2004-11-16,-1.7422
2004-11-17,0.7092
2004-11-18,-1.0563
2004-11-19,0.0
2004-11-22,0.9253
2004-11-23,-0.2821
2004-11-24,-1.1315
2004-11-26,-0.5722
2004-11-29,0.7194
2004-11-30,-0.7143
2004-12-01,0.7194
2004-12-02,1.4285999999999999
2004-12-03,1.0563
2004-12-06,-1.3937
2004-12-07,-1.0601
2004-12-08,0.3571
2004-12-09,-0.516
2004-12-10,-0.5091
2004-12-13,0.0731
2004-12-14,-1.3148
2004-12-15,-1.1103
2004-12-16,0.2246
2004-12-17,-0.7468
2004-12-20,-0.0752
2004-12-21,0.6024
2004-12-22,1.4969999999999999
2004-12-23,-0.0737
2004-12-27,-0.8856
2004-12-28,1.2658
2004-12-29,-1.8382
2004-12-30,0.3745
