ticker,IPWR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-11-22,7.0
2013-11-25,28.972
2013-11-26,0.8696
2013-11-27,-0.1437
2013-11-29,0.7194
2013-12-02,0.0
2013-12-03,0.7143
2013-12-04,-0.9929
2013-12-05,-9.0258
2013-12-06,-6.2992
2013-12-09,10.5882
2013-12-10,-4.7112
2013-12-11,-2.7113
2013-12-12,-1.6393
2013-12-13,-0.8333
2013-12-16,-3.0252
2013-12-17,-1.2132
2013-12-18,-2.1053
2013-12-19,1.0753
2013-12-20,-4.2553
2013-12-23,0.9259
2013-12-24,0.0
2013-12-26,0.5505
2013-12-27,-2.3723
2013-12-30,-1.4953
2013-12-31,0.759
2014-01-02,3.3875
2014-01-03,-3.2765
2014-01-06,5.6497
2014-01-07,4.0998
2014-01-08,22.2603
2014-01-09,10.3641
2014-01-10,1.5228000000000002
2014-01-13,-12.125
2014-01-14,10.526299999999999
2014-01-15,-4.3372
2014-01-16,0.2287
2014-01-17,-2.3624
2014-01-21,-3.7668
2014-01-22,0.4286
2014-01-23,-0.4267
2014-01-24,1.4285999999999999
2014-01-27,-3.9436999999999998
2014-01-28,0.4399
2014-01-29,-1.7518
2014-01-30,0.5944
2014-01-31,-2.5111
2014-02-03,4.697
2014-02-04,1.4472
2014-02-05,1.1412
2014-02-06,-2.9619
2014-02-07,1.1628
2014-02-10,0.5693
2014-02-11,-1.4233
2014-02-12,-0.2899
2014-02-13,1.4535
2014-02-14,-1.0029
2014-02-18,1.013
2014-02-19,-2.5788
2014-02-20,0.2941
2014-02-21,1.3195999999999999
2014-02-24,-0.1447
2014-02-25,2.029
2014-02-26,1.5625
2014-02-27,5.8741
2014-02-28,3.5667
2014-03-03,-0.6378
2014-03-04,-3.0809
2014-03-05,14.5695
2014-03-06,10.9827
2014-03-07,-1.0417
2014-03-10,18.4211
2014-03-11,-13.3333
2014-03-12,1.0256
2014-03-13,-0.8122
2014-03-14,5.2201
2014-03-17,6.4202
2014-03-18,1.2797
2014-03-19,-9.5668
2014-03-20,7.485
2014-03-21,2.3213
2014-03-24,0.0
2014-03-25,-7.2595
2014-03-26,-9.4912
2014-03-27,1.5135
2014-03-28,-5.5378
2014-03-31,-9.2446
2014-04-01,0.2484
2014-04-02,2.3544
2014-04-03,7.6271
2014-04-04,-4.6119
2014-04-07,-4.3632
2014-04-08,8.6313
2014-04-09,1.3053
2014-04-10,-4.7619
2014-04-11,-4.0
2014-04-14,1.2255
2014-04-15,-0.3632
