ticker,FRCH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,-41.3333
2000-01-05,0.0
2000-01-11,-9.0909
2000-01-12,0.0
2000-01-26,0.0
2000-01-27,0.0
2000-02-09,0.0
2000-02-18,40.0
2000-02-29,-10.7143
2000-03-13,0.0
2000-03-14,0.0
2000-03-15,0.0
2000-03-16,12.0
2000-03-28,-64.2857
2000-03-30,-96.0
2000-05-09,-90.0
2000-05-30,1900.0
2000-06-28,-50.0
2000-06-29,0.0
2000-08-07,525.0
2000-08-08,60.0
2000-08-15,30.0
2000-08-28,-51.9231
2000-09-12,140.0
2000-10-02,33.3333
2000-10-03,-25.0
2000-10-20,-93.3333
2000-10-25,400.0
2000-11-27,-98.0
2000-11-28,900.0
2000-12-04,-90.0
2000-12-06,0.0
2000-12-07,0.0
2000-12-11,900.0
2000-12-20,0.0
2000-12-21,0.0
2000-12-26,0.0
2000-12-28,300.0
2000-12-29,-97.5
2001-01-12,4900.0
2001-01-29,100.0
2001-02-21,60.0
2001-03-09,-21.875
2001-03-27,20.0
2001-04-24,-33.3333
2001-05-07,50.0
2001-05-24,-33.3333
2001-07-05,50.0
2001-07-11,-33.3333
2001-07-16,0.0
2001-07-19,0.0
2001-08-15,320.0
2001-09-20,-69.0476
2001-10-22,-99.2308
2001-12-13,100900.0
2001-12-17,-80.198
2001-12-18,50.0
2001-12-26,33.3333
2002-01-03,-25.0
2002-01-04,0.0
2002-01-11,0.0
2002-02-04,70.0
2002-02-07,7.8431
2002-02-12,0.0
2002-02-21,9.0909
2002-02-28,0.0
2002-03-07,0.0
2002-03-18,16.6667
2002-03-25,-14.2857
2002-04-05,0.0
2002-05-10,16.6667
2002-05-29,-14.2857
2002-06-05,0.0
2002-06-14,0.0
2002-08-14,68.3333
2002-10-14,-25.7426
2003-03-14,-32.0
2003-05-27,0.0
2003-06-24,0.0
2003-07-22,0.0
2003-08-06,0.0
2003-08-13,0.0
2004-01-16,-39.2157
2004-05-17,0.0
2004-07-22,0.0
2004-07-27,-19.3548
2004-07-28,-12.0
2004-09-24,36.3636
2004-10-08,-26.6667
2004-11-11,0.0
2005-01-28,-9.0909
2005-05-19,-15.0
2005-07-01,-11.7647
2005-11-22,0.0
2005-12-09,-26.6667
2006-02-17,0.0
2006-06-07,0.0
2006-06-15,0.0
2007-02-14,0.0
2007-02-15,81.8182
2007-02-20,-45.0
2007-03-05,0.0
2007-03-22,0.0
2007-05-02,0.0
2007-06-01,0.0
2007-08-07,0.0
2007-09-10,0.0
2007-11-28,-36.3636
2007-12-31,0.0
2008-02-26,-28.5714
2008-03-26,0.0
2008-04-22,-40.0
2009-02-12,0.0
2010-02-18,0.0
2010-05-25,0.0
2012-01-30,-89.5833
2012-11-30,0.0
2013-08-05,220.0
2013-08-06,10.0
2015-06-04,-98.8636
