ticker,CTUY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-08,0.0
2010-10-14,-2.1739
2010-10-15,0.0
2010-10-18,0.0
2010-10-19,-1.1556
2010-10-21,-1.0791
2010-10-28,0.0
2010-11-01,0.0
2010-11-03,0.0
2010-11-04,0.0
2010-11-05,0.0
2010-11-11,2.2727
2010-11-12,0.0
2010-11-15,-1.3333
2010-11-16,0.0
2010-11-17,0.4505
2010-11-19,0.0
2010-11-22,0.4484
2010-11-23,0.0
2010-11-24,-0.4464
2010-11-30,0.4484
2010-12-06,0.0
2010-12-07,0.0
2010-12-15,0.0
2010-12-17,0.0
2010-12-20,0.0
2010-12-21,0.0
2010-12-22,-1.7856999999999998
2010-12-23,0.0
2010-12-27,0.0
2010-12-29,0.0
2011-01-07,0.0
2011-01-10,0.0
2011-01-21,0.0
2011-01-27,1.8182
2011-01-28,-1.25
2011-01-31,0.3617
2011-02-03,0.0
2011-02-14,2.7027
2011-02-15,5.2632
2011-02-16,0.0
2011-02-17,0.0
2011-02-22,2.1667
2011-02-23,-0.0816
2011-02-25,0.4082
2011-03-07,2.439
2011-03-08,0.0
2011-03-14,7.1429
2011-03-17,0.0
2011-03-23,0.0
2011-03-25,0.0
2011-03-28,0.0
2011-03-29,0.0
2011-03-31,0.0
2011-04-07,7.4074
2011-04-12,1.7241
2011-04-15,5.0847
2011-04-19,16.129
2011-04-25,-11.1111
2011-04-27,-3.125
2011-04-28,3.2258
2011-05-02,0.0
2011-06-13,-6.25
2011-06-16,13.3333
2011-06-17,-0.8824
2011-07-28,-16.9139
2011-07-29,7.1429
2011-08-01,0.0
2011-08-08,3.3333
2011-08-18,-6.4516
2011-08-26,0.0
2011-08-29,0.0
2011-09-01,0.0
2011-10-03,0.0
2011-10-11,-1.7241
2011-10-21,-4.5614
2011-10-26,1.4706000000000001
2011-10-28,5.0725
2011-11-18,-6.2069
2012-01-04,-2.5735
2012-01-05,5.6604
2012-02-15,-10.0
2012-02-16,1.5873
2012-02-17,3.2031
2012-02-21,-1.5897000000000001
2012-02-27,0.0
2012-03-07,1.9231
2012-03-09,0.0
2012-03-15,0.4528
2012-03-16,0.0
2012-03-20,-0.0751
2012-03-21,0.3759
2012-03-22,1.1236
2012-03-27,3.7037
2012-03-28,-3.5714
2012-04-13,-3.7037
2012-04-20,-2.6923
2012-04-25,0.7905
2012-04-26,1.9607999999999999
2012-05-03,-3.7692
2012-05-08,1.9184999999999999
2012-05-10,0.0
2012-05-21,1.9607999999999999
