ticker,ARWJF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-02,-10.0
2000-03-22,114.8611
2000-10-02,3.426
2000-12-21,-50.0
2001-05-22,-10.0
2002-02-11,27.0833
2002-09-10,-30.0546
2002-10-16,-12.5
2003-03-12,157.1429
2003-03-14,5.5556
2003-10-01,13.8816
2003-10-16,92.2588
2003-11-26,-3.8462
2003-12-17,-27.5
2003-12-24,1.7241
2004-04-12,79.661
2004-04-14,-5.6604
2004-04-16,36.0
2004-10-22,-59.8039
2004-10-25,1.2195
2005-10-12,-33.7349
2005-10-14,9.0909
2005-12-08,-56.6667
2006-01-17,23.0769
2006-01-24,-1.25
2006-01-26,-12.0253
2006-02-03,20.1439
2006-02-06,-2.9939999999999998
2006-02-09,0.0
2006-02-16,4.9383
2006-02-17,-0.5882
2006-02-24,42.0118
2006-02-28,-16.6667
2006-03-03,50.0
2006-03-06,-16.6667
2006-03-07,-10.8
2006-03-16,18.8341
2006-03-21,-22.6415
2006-03-27,51.2195
2006-04-04,-14.5161
2006-04-10,2.9717000000000002
2006-04-12,4.4434000000000005
2006-04-21,-15.0877
2006-04-27,1.2397
2006-04-28,2.0408
2006-05-02,4.0
2006-05-03,0.0
2006-05-11,30.7692
2006-05-12,3.0331
2006-05-15,-3.8002000000000002
2006-05-17,-2.1884
2006-05-18,-12.0212
2006-05-24,3.4483
2006-06-05,-13.3333
2006-06-08,0.0
2006-06-13,7.6923
2006-06-22,-19.6429
2006-07-06,17.6111
2006-07-14,0.1417
2006-07-19,11.6981
2006-07-20,-2.027
2006-08-01,-22.4138
2006-09-25,32.0
2006-09-27,2.7567
2006-09-29,-0.0614
2006-10-02,-7.2541
2006-10-19,-12.2625
2006-10-25,8.7887
2006-10-30,-0.4167
2006-11-06,-10.9949
2006-11-10,3.9958
2006-11-14,6.1276
2006-11-15,-0.1893
2006-11-16,-5.1683
2006-12-15,-29.475
2006-12-27,4.9273
2006-12-28,2.9054
2006-12-29,-16.677599999999998
2007-01-03,5.9102
2007-01-08,-13.0208
2007-01-17,-1.2404
2007-01-19,3.8545
2007-01-25,0.0834
2007-01-29,6.6667
2007-01-30,0.0
2007-02-14,-13.75
2007-02-16,0.0
2007-02-20,-7.971
2007-02-22,5.6594
2007-02-23,4.3316
2007-02-26,17.8571
2007-02-27,2.0076
2007-02-28,-9.5061
2007-03-01,2.421
2007-03-07,3.4054
2007-03-14,-26.8501
2007-03-16,10.1695
2007-03-22,3.6058
2007-03-28,-0.9745
