ticker,FSWA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-27,0.0
2004-07-30,-4.5455
2004-08-03,1.9048
2004-08-04,-0.9346
2004-08-16,-0.4717
2004-08-19,4.2654
2004-08-20,0.0
2004-08-23,-3.6364
2004-08-27,6.1321
2004-09-02,-2.6667
2004-09-07,-1.8265
2004-09-08,1.3953
2004-09-10,0.9174
2004-09-13,0.4545
2004-09-14,0.905
2004-09-17,-1.3453
2004-09-20,-0.4545
2004-09-21,0.3653
2004-09-22,0.0
2004-09-23,0.0
2004-09-24,-0.364
2004-09-27,0.0
2004-09-28,0.4566
2004-10-04,0.9091
2004-10-05,0.0
2004-10-08,0.4505
2004-10-11,-0.8969
2004-10-12,-1.3575
2004-10-14,0.9174
2004-10-21,-0.9091
2004-10-25,3.211
2004-11-03,-1.7778
2004-11-04,1.81
2004-11-05,6.6667
2004-11-08,-6.0833
2004-11-09,15.3505
2004-11-10,3.8462
2004-11-11,-1.8519
2004-11-12,0.0
2004-11-15,-0.3774
2004-11-16,4.1667
2004-11-17,-1.8182
2004-11-18,1.4815
2004-11-19,0.0
2004-11-22,1.4599
2004-11-23,0.5755
2004-11-26,0.0
2004-11-29,-0.2146
2004-11-30,-0.3584
2004-12-01,0.0
2004-12-02,0.0
2004-12-03,0.0
2004-12-06,0.0
2004-12-08,0.0
2004-12-09,0.0
2004-12-13,-4.6043
2004-12-14,3.6953
2004-12-15,0.7273
2004-12-16,0.361
2004-12-28,-4.6763
2005-01-03,3.3962
2005-01-04,-3.2847
2005-01-05,-1.434
2005-01-10,2.9862
2005-01-11,-1.1152
2005-01-12,0.3759
2005-01-13,1.1236
2005-01-14,-1.8519
2005-01-20,-0.3774
2005-01-24,1.5152
2005-01-25,0.1493
2005-01-26,-1.6393
2005-01-27,0.0
2005-01-31,2.2727
2005-02-01,-0.7407
2005-02-04,0.3731
2005-02-07,0.3717
2005-02-11,-1.8519
2005-02-14,1.8868
2005-02-15,0.7407
2005-02-16,-0.7353
2005-02-17,0.0
2005-02-23,-3.7037
2005-02-24,0.0
2005-02-25,-1.9231
2005-02-28,1.9607999999999999
2005-03-02,5.7692
2005-03-03,-5.4545
2005-03-07,0.3846
2005-03-08,3.4483
2005-03-09,-3.7037
2005-03-10,-1.9231
2005-03-14,0.0
2005-03-17,0.0
2005-03-22,-1.1764999999999999
2005-03-23,2.7778
2005-03-24,-3.4749
2005-03-28,3.6
2005-03-30,-0.7722
2005-04-01,-0.3891
2005-04-04,-4.2969
