ticker,PRAA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-11-08,18.8462
2002-11-11,6.1489
2002-11-12,-3.2927
2002-11-13,2.7743
2002-11-14,4.2883
2002-11-15,1.8354
2002-11-18,3.9801
2002-11-19,-10.2222
2002-11-20,6.3119
2002-11-21,0.6985
2002-11-22,1.7341
2002-11-25,4.9432
2002-11-26,-7.9589
2002-11-27,3.9412000000000003
2002-11-29,-0.4527
2002-12-02,-0.5117
2002-12-03,2.2857
2002-12-04,5.8603
2002-12-05,0.0581
2002-12-06,-0.3217
2002-12-09,0.6932
2002-12-10,-0.6831
2002-12-11,-1.4868000000000001
2002-12-12,-2.0893
2002-12-13,-2.1441
2002-12-16,9.3047
2002-12-17,-1.6924000000000001
2002-12-18,-0.8712
2002-12-19,1.3051
2002-12-20,1.1429
2002-12-23,-0.6163
2002-12-24,0.6202
2002-12-26,-1.1351
2002-12-27,-1.3455
2002-12-30,-0.5266
2002-12-31,-3.3827
2003-01-02,2.7340999999999998
2003-01-03,0.8
2003-01-06,9.2063
2003-01-07,1.9864000000000002
2003-01-08,-4.0333
2003-01-09,2.6187
2003-01-10,0.0965
2003-01-13,1.0506
2003-01-14,-0.9443
2003-01-15,-0.337
2003-01-16,0.2415
2003-01-17,-2.4096
2003-01-21,-2.6173
2003-01-22,-2.3834
2003-01-23,3.3766
2003-01-24,-4.684
2003-01-27,0.1694
2003-01-28,1.4632
2003-01-29,4.3677
2003-01-30,5.8151
2003-01-31,3.5228
2003-02-03,2.0417
2003-02-04,-2.2677
2003-02-05,1.6833
2003-02-06,2.3714
2003-02-07,-7.5612
2003-02-10,6.383
2003-02-11,6.5333
2003-02-12,-3.5878
2003-02-13,-0.3894
2003-02-14,1.6073
2003-02-18,5.6434
2003-02-19,-0.8499
2003-02-20,0.0
2003-02-21,-2.5714
2003-02-24,0.5446
2003-02-25,-0.0417
2003-02-26,1.2088
2003-02-27,-1.318
2003-02-28,-2.9257
2003-03-03,1.7628
2003-03-04,-2.4547
2003-03-05,-2.6334
2003-03-06,1.121
2003-03-07,2.9386
2003-03-10,-15.0427
2003-03-11,-0.6539
2003-03-12,0.8608
2003-03-13,1.9076
2003-03-14,4.6798
2003-03-17,-5.6941
2003-03-18,1.2974
2003-03-19,-1.6749
2003-03-20,-1.3527
2003-03-21,5.739
2003-03-24,-2.2574
2003-03-25,2.457
2003-03-26,-1.4868000000000001
2003-03-27,5.3554
2003-03-28,-0.5083
2003-03-31,5.713
2003-04-01,1.0545
