ticker,HEME US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-11-17,100.0
2009-01-15,-75.0
2009-02-20,0.0
2010-04-28,1900.0
2010-04-29,50.0
2010-05-13,0.0
2010-05-14,0.0
2010-05-17,-25.0
2010-05-19,2.2222
2010-05-24,19.5652
2010-05-25,10.9091
2010-05-26,14.7541
2010-06-01,-12.857099999999999
2010-06-02,-1.6393
2010-06-03,16.6667
2010-06-08,-5.7143
2010-06-09,21.2121
2010-06-24,8.75
2010-06-30,-2.7586
2010-07-08,6.383
2010-07-09,0.0
2010-07-13,-6.6667
2010-07-15,-14.2857
2010-07-16,50.0
2010-07-19,0.0
2010-07-21,-16.6667
2010-07-22,0.0
2010-07-30,33.4167
2010-08-17,-25.0468
2010-08-20,20.0
2010-08-23,-5.5556
2010-08-24,-35.2941
2010-08-25,18.1818
2010-08-26,3.8462
2010-08-27,22.2222
2010-08-30,1.9318
2010-08-31,7.0234
2010-09-01,-3.8889
2010-09-02,-4.6243
2010-09-03,4.8485
2010-09-07,-24.8555
2010-09-08,11.538499999999999
2010-09-09,10.3448
2010-09-10,-6.25
2010-09-13,-6.6667
2010-09-14,0.7143
2010-09-15,6.383
2010-09-16,-16.6667
2010-09-17,4.0
2010-09-20,23.0769
2010-09-21,11.25
2010-09-22,-4.5646
2010-09-23,5.9603
2010-09-24,16.6667
2010-09-27,19.0476
2010-09-28,-8.0
2010-09-29,6.5217
2010-09-30,6.1224
2010-10-01,26.5385
2010-10-04,-21.5805
2010-10-05,-27.5194
2010-10-06,-27.8075
2010-10-07,-3.7037
2010-10-08,-3.8462
2010-10-11,-15.2
2010-10-12,-22.6415
2010-10-13,-10.9756
2010-10-14,-6.8493
2010-10-15,1.4706000000000001
2010-10-18,-24.6377
2010-10-19,9.975999999999999
2010-10-20,6.6667
2010-10-21,-3.2787
2010-10-22,-8.2627
2010-10-25,-7.6212
2010-10-26,-8.0
2010-10-27,6.5217
2010-10-28,-8.1633
2010-10-29,11.1111
2010-11-01,-16.0
2010-11-02,16.6667
2010-11-03,-18.3673
2010-11-04,10.0
2010-11-05,-9.0909
2010-11-08,-5.0
2010-11-09,0.0
2010-11-10,-13.1579
2010-11-11,6.0606
2010-11-12,-13.9286
2010-11-15,-23.6515
2010-11-16,-21.7391
2010-11-17,61.1111
2010-11-18,34.4828
2010-11-19,-10.2564
2010-11-22,92.8571
2010-11-23,15.7407
2010-11-24,-46.24
2010-11-26,7.1429
2010-11-29,-13.3333
2010-11-30,-7.6923
