ticker,SABR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-17,3.125
2014-04-21,0.9697
2014-04-22,6.2425
2014-04-23,-4.8023
2014-04-24,-0.0593
2014-04-25,-1.1283
2014-04-28,-1.021
2014-04-29,-0.2427
2014-04-30,0.1825
2014-05-01,0.2429
2014-05-02,-0.6663
2014-05-05,-2.3171
2014-05-06,-0.6242
2014-05-07,0.3769
2014-05-08,-1.4393
2014-05-09,-1.3333
2014-05-12,2.8958
2014-05-13,-1.4384000000000001
2014-05-14,0.0
2014-05-15,2.1574
2014-05-16,1.1801
2014-05-19,1.2891
2014-05-20,-0.8485
2014-05-21,0.8557
2014-05-22,0.9091
2014-05-23,2.6426
2014-05-27,-0.0585
2014-05-28,4.2155
2014-05-29,4.4382
2014-05-30,3.2813
2014-06-02,0.0
2014-06-03,-1.6146
2014-06-04,0.5823
2014-06-05,1.1579
2014-06-06,-2.1852
2014-06-09,1.0106
2014-06-10,1.1585
2014-06-11,0.0521
2014-06-12,0.0
2014-06-13,0.052
2014-06-16,-0.104
2014-06-17,1.1973
2014-06-18,4.4239
2014-06-19,0.9852
2014-06-20,-2.1951
2014-06-23,-1.4963
2014-06-24,-2.3291
2014-06-25,3.4733
2014-06-26,-1.8537
2014-06-27,3.4455999999999998
2014-06-30,-1.0609
2014-07-01,-0.0998
2014-07-02,-0.5991
2014-07-03,0.9041
2014-07-07,-0.448
2014-07-08,0.05
2014-07-09,0.8996
2014-07-10,-1.1887
2014-07-11,-0.7769
2014-07-14,-0.4041
2014-07-15,-1.3442
2014-07-16,-0.8226
2014-07-17,-0.6739
2014-07-18,1.096
2014-07-21,0.7228
2014-07-22,0.7688
2014-07-23,-0.1526
2014-07-24,-0.1528
2014-07-25,-0.2041
2014-07-28,-1.9426999999999999
2014-07-29,1.147
2014-07-30,-0.567
2014-07-31,-1.6071
2014-08-01,-1.2118
2014-08-04,-0.2667
2014-08-05,0.0
2014-08-06,-0.8556
2014-08-07,-0.3236
2014-08-08,-0.3788
2014-08-11,0.4889
2014-08-12,-0.5405
2014-08-13,-0.4348
2014-08-14,-0.6004
2014-08-15,1.5925
2014-08-18,0.3243
2014-08-19,-0.8621
2014-08-20,0.8696
2014-08-21,-1.347
2014-08-22,-0.5461
2014-08-25,-0.0549
2014-08-26,-0.2747
2014-08-27,1.6529
2014-08-28,-1.9062999999999999
2014-08-29,1.2215
2014-09-02,-1.4811
2014-09-03,2.3385
2014-09-04,-0.7073
2014-09-05,1.2055
