ticker,SSDT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-09-17,-4.1667
2019-10-01,0.0
2019-10-02,-79.5652
2019-10-18,325.5319
2019-10-21,7.5
2019-10-29,-53.4884
2020-01-07,-11.0
2020-02-05,-32.5843
2020-04-24,0.0
