ticker,KRYS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-20,6.4
2017-09-21,-3.6654
2017-09-22,-1.8537
2017-09-25,-3.0815
2017-09-26,1.0256
2017-09-27,2.0203
2017-09-28,0.3085
2017-09-29,-1.0913
2017-10-02,0.1003
2017-10-03,-0.7014
2017-10-04,-0.1009
2017-10-05,1.6162
2017-10-06,-1.1839
2017-10-09,0.0915
2017-10-10,1.1055
2017-10-11,0.3976
2017-10-12,-0.8911
2017-10-13,-0.0999
2017-10-16,-4.4
2017-10-17,1.569
2017-10-18,15.242
2017-10-19,-4.7364
2017-10-20,-6.2852
2017-10-23,-6.8068
2017-10-24,3.8668
2017-10-25,4.4467
2017-10-26,-3.9604
2017-10-27,3.5052
2017-10-30,-5.2789
2017-10-31,4.1009
2017-11-01,-3.5354
2017-11-02,0.1047
2017-11-03,1.7259
2017-11-06,1.491
2017-11-07,-0.4053
2017-11-08,2.4415
2017-11-09,0.5958
2017-11-10,0.4936
2017-11-13,3.7682
2017-11-14,2.1432
2017-11-15,-3.6145
2017-11-16,2.9808
2017-11-17,-3.1746
2017-11-20,0.5786
2017-11-21,0.5753
2017-11-22,0.0953
2017-11-24,0.0
2017-11-27,0.0
2017-11-28,0.0
2017-11-29,-2.9524
2017-11-30,3.0422
2017-12-01,0.1905
2017-12-04,-0.1901
2017-12-05,0.0
2017-12-06,-1.3333
2017-12-07,0.4826
2017-12-08,-1.9212
2017-12-11,4.5054
2017-12-12,-0.4686
2017-12-13,-0.1883
2017-12-14,-2.5472
2017-12-15,-7.454
2017-12-18,-4.4979
2017-12-19,-10.2957
2017-12-20,8.0586
2017-12-21,4.5198
2017-12-22,-2.4865
2017-12-26,-2.439
2017-12-27,1.7045
2017-12-28,10.7263
2017-12-29,6.1554
2018-01-02,-12.7376
2018-01-03,15.5773
2018-01-04,-0.8483
2018-01-05,-1.7109999999999999
2018-01-08,2.6112
2018-01-09,-3.8643
2018-01-10,-1.3725
2018-01-11,4.3738
2018-01-12,-4.2857
2018-01-16,-1.791
2018-01-17,-2.3303
2018-01-18,1.4523
2018-01-19,4.8057
2018-01-22,-2.8293
2018-01-23,-2.1084
2018-01-24,-1.7436
2018-01-25,-0.3132
2018-01-26,5.2356
2018-01-29,-3.4826
2018-01-30,3.5052
2018-01-31,-0.5976
2018-02-01,-2.9058
2018-02-02,-1.6512
2018-02-05,-7.1354
2018-02-06,4.4339
2018-02-07,4.5183
2018-02-08,-1.7598
2018-02-09,1.0537
