ticker,SINA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-04-13,21.6912
2000-04-14,-5.7402
2000-04-17,3.2051
2000-04-18,5.5901
2000-04-19,-4.7059
2000-04-20,0.6173
2000-04-24,-16.5644
2000-04-25,5.1471
2000-04-26,2.0979
2000-04-27,-1.3699
2000-04-28,9.0278
2000-05-01,21.6561
2000-05-02,2.0942
2000-05-03,-3.0769
2000-05-04,10.0529
2000-05-05,14.4231
2000-05-08,6.0924
2000-05-09,0.9901
2000-05-10,-7.2549
2000-05-11,1.2685
2000-05-12,-7.3069
2000-05-15,4.955
2000-05-16,33.9056
2000-05-17,-0.9615
2000-05-18,30.7443
2000-05-19,-5.198
2000-05-22,13.8381
2000-05-23,-21.1009
2000-05-24,5.9593
2000-05-25,-17.284
2000-05-26,-11.7745
2000-05-30,-9.0226
2000-05-31,14.876
2000-06-01,3.2374
2000-06-02,-1.0453
2000-06-05,-2.6408
2000-06-06,-4.8825
2000-06-07,3.4221
2000-06-08,2.5735
2000-06-09,6.4516
2000-06-12,0.3367
2000-06-13,2.349
2000-06-14,-1.6393
2000-06-15,-9.5
2000-06-16,-1.2891
2000-06-19,1.4925
2000-06-20,0.0
2000-06-21,2.5735
2000-06-22,-0.5376
2000-06-23,-7.7477
2000-06-26,-6.0547
2000-06-27,-5.1975
2000-06-28,-5.0439
2000-06-29,-8.0831
2000-06-30,3.0151
2000-07-03,9.0244
2000-07-05,10.962
2000-07-06,-4.6371
2000-07-07,-4.8626000000000005
2000-07-10,-3.7778
2000-07-11,-6.2356
2000-07-12,13.5468
2000-07-13,-3.2538
2000-07-14,5.3812
2000-07-17,-0.8511
2000-07-18,-6.0086
2000-07-19,-2.968
2000-07-20,6.8235
2000-07-21,-0.4405
2000-07-24,-6.1947
2000-07-25,-2.3585
2000-07-26,-5.314
2000-07-27,-7.1429
2000-07-28,-1.0989
2000-07-31,5.8333
2000-08-01,-4.4619
2000-08-02,-2.7473
2000-08-03,-9.0395
2000-08-04,1.2422
2000-08-07,-1.227
2000-08-08,-0.6211
2000-08-09,-6.5625
2000-08-10,-3.6789
2000-08-11,-2.4306
2000-08-14,-0.3559
2000-08-15,0.0
2000-08-16,-2.8571
2000-08-17,22.0588
2000-08-18,3.6145
2000-08-21,2.6163
2000-08-22,-5.3824
2000-08-23,-4.1916
2000-08-24,6.5625
2000-08-25,-0.8798
2000-08-28,-4.142
2000-08-29,1.8519
2000-08-30,1.2121
2000-08-31,2.9939999999999998
2000-09-01,9.811
