ticker,CSAY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-16,10.0
2010-11-30,13.6364
2010-12-01,-12.0
2010-12-03,-9.0909
2010-12-08,0.0
2010-12-29,0.0
2011-01-14,0.0
2011-01-18,-49.5
2011-01-19,0.0
2011-01-26,22.7723
2011-02-03,61.2903
2011-03-11,-49.0
2011-04-19,0.0
2011-04-29,-0.9804
2011-05-05,48.5149
2011-07-18,-32.6667
2011-07-28,-25.7426
2011-07-29,-46.6667
2011-08-23,152.5
2015-10-29,-99.9876
2016-05-20,0.0
2016-05-24,7900.0
2016-05-25,5000.0
2016-05-27,-70.5882
2016-06-01,0.0
2017-01-23,-20.0
2017-01-25,-16.6667
2017-01-30,0.0
2017-03-02,0.0
2018-01-05,20.0
2018-01-25,-25.0
2018-01-31,55.5556
2018-03-14,-35.7143
2018-08-30,0.0
2019-07-08,11.1111
2019-09-25,-30.0
2019-10-03,0.0
2019-10-11,-21.4286
2019-10-25,-27.2727
2019-11-05,-25.0
2019-12-13,100.0
2019-12-19,-25.0
2020-04-13,-33.3333
2020-07-10,300.0
2020-07-13,0.0
2020-07-14,0.0
2020-07-21,0.0
2020-07-27,0.0
