ticker,APTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-10,3.75
2000-01-11,-3.6145
2000-01-19,7.1429
2000-01-21,4.7619
2000-02-02,1.1364
2000-04-12,22.449
2000-04-25,-17.5926
2000-06-13,2.0408
2000-06-26,4.4444
2000-06-27,2.1277
2000-07-13,-4.1667
2000-07-20,1.087
2000-07-27,0.0
2000-07-28,3.2258
2000-08-14,-3.125
2000-08-15,3.2258
2000-08-22,-3.125
2000-10-26,21.4751
2000-11-14,-14.2857
2000-12-19,0.0
2000-12-26,2.0833
2001-01-08,-1.2346
2001-01-11,2.0833
2001-02-05,-2.0408
2001-02-06,2.0833
2001-04-27,-0.2058
2001-05-04,7.2165
2001-05-07,-5.7692
2001-05-18,2.0408
2001-05-21,2.0
2001-05-30,2.7451
2001-06-08,-1.9231
2001-06-11,1.9607999999999999
2001-09-04,-6.9231
2001-09-06,0.0
2001-11-05,-4.1667
2002-02-01,0.8772
2002-02-04,10.8696
2002-03-28,6.7194
2002-05-09,-6.4815
2002-05-10,2.9703
2002-05-29,0.0
2002-07-01,-2.8846
2002-07-12,-12.8713
2002-07-24,-13.1818
2002-07-25,15.1832
2002-08-09,0.0
2002-08-13,4.5455
2002-08-15,-2.1739
2002-08-21,0.0
2002-08-27,-15.5556
2002-09-03,-1.3158
2002-09-16,-6.6667
2002-10-10,-20.8571
2002-10-15,-0.361
2002-10-16,-27.5362
2002-10-21,30.0
2002-11-04,-38.4615
2002-12-12,-25.0
2002-12-13,0.0
2002-12-23,-33.3333
2002-12-24,12.5
2002-12-27,33.3333
2002-12-30,-25.0
2002-12-31,-5.3333
2003-01-13,0.0
2003-01-16,-17.8404
2003-02-26,2.8571
2003-03-13,2.7778
2003-03-14,-5.4054
2003-03-24,28.5714
2003-05-01,-22.2222
2003-06-20,28.5714
2003-07-17,11.1111
2003-08-06,0.0
2003-08-26,0.0
2003-09-26,-3.0
2003-10-02,64.9485
2003-10-07,-43.125
2003-10-08,53.8462
2003-12-11,-3.5714
2003-12-23,0.7407
2003-12-30,-26.4706
2004-01-26,166.0
2004-04-20,-54.8872
2004-08-30,25.0
2004-09-27,3.3333
2004-10-06,9.6774
2004-10-25,-2.9412000000000003
2004-10-26,3.0303
2005-02-02,17.647100000000002
2005-02-15,10.0
2005-03-23,18.1818
2005-03-28,7.6923
2005-03-30,-7.1429
2005-04-04,0.0
2005-04-12,-11.538499999999999
2005-04-13,6.5217
2005-04-15,22.449
2005-04-18,0.0
2005-04-19,0.0
