ticker,HBIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-3.125
2000-01-05,11.828
2000-01-11,0.0
2000-01-12,0.0
2000-01-18,-4.8077
2000-01-19,5.697
2000-01-28,-7.6923
2000-02-02,0.0
2000-02-08,0.0
2000-02-11,4.1667
2000-02-14,4.0
2000-02-15,11.538499999999999
2000-02-17,0.8621
2000-02-25,-4.2735
2000-03-13,-1.7856999999999998
2000-03-15,0.0
2000-03-24,0.0
2000-03-27,3.6364
2000-03-28,0.0
2000-03-31,5.2632
2000-10-11,-46.0916
2000-10-25,-36.5
2000-11-10,117.5
2000-11-15,-3.4483
2000-12-13,-4.7619
2000-12-27,5.0
2001-05-18,10.3647
2001-06-05,-30.4348
2001-08-09,132.5
