ticker,EGLE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-06-23,-3.5714
2005-06-24,-3.6296
2005-06-27,-0.8455
2005-06-28,2.3256
2005-06-29,0.0
2005-06-30,2.2727
2005-07-01,0.2963
2005-07-05,0.7386
2005-07-06,0.1466
2005-07-07,-0.1464
2005-07-08,-0.8798
2005-07-11,-0.3698
2005-07-12,-0.297
2005-07-13,-0.2978
2005-07-14,-1.0456
2005-07-15,0.3774
2005-07-18,-1.1278
2005-07-19,0.3802
2005-07-20,-0.7576
2005-07-21,1.145
2005-07-22,-1.9623
2005-07-25,-2.0015
2005-07-26,-2.1995
2005-07-27,-0.3213
2005-07-28,-0.4029
2005-07-29,3.3172
2005-08-01,0.6265
2005-08-02,2.8016
2005-08-03,-0.3785
2005-08-04,1.0638
2005-08-05,0.9023
2005-08-08,-1.4158
2005-08-09,-3.3258
2005-08-10,-0.9382
2005-08-11,1.8153000000000001
2005-08-12,0.0775
2005-08-15,-0.4648
2005-08-16,1.4008
2005-08-17,1.6884000000000001
2005-08-18,-1.5093999999999999
2005-08-19,-1.1494
2005-08-22,-0.7752
2005-08-23,1.5625
2005-08-24,1.7692
2005-08-25,-0.9826
2005-08-26,-0.0763
2005-08-29,-0.4584
2005-08-30,-0.8442
2005-08-31,0.6192
2005-09-01,0.8462
2005-09-02,-0.4577
2005-09-06,-0.1533
2005-09-07,0.683
2005-09-08,-1.0594999999999999
2005-09-09,0.1541
2005-09-12,10.0
2005-09-13,5.2448
2005-09-14,2.99
2005-09-15,4.5161
2005-09-16,-4.3827
2005-09-19,1.3557000000000001
2005-09-20,-1.1465
2005-09-21,3.0284
2005-09-22,0.0625
2005-09-23,3.5
2005-09-26,2.7778
2005-09-27,2.2914
2005-09-28,0.919
2005-09-29,-2.3904
2005-09-30,0.0
2005-10-03,0.2915
2005-10-04,-0.6977
2005-10-05,-6.6159
2005-10-06,1.0658
2005-10-07,2.3573
2005-10-10,5.8788
2005-10-11,1.5455
2005-10-12,-4.4532
2005-10-13,0.292
2005-10-14,-0.9083
2005-10-17,-0.9197
2005-10-18,-3.2178
2005-10-19,-0.3197
2005-10-20,-0.5131
2005-10-21,0.9026
2005-10-24,0.2556
2005-10-25,-1.211
2005-10-26,-2.0
2005-10-27,-2.8966
2005-10-28,-1.8373
2005-10-31,2.3551
2005-11-01,0.2024
2005-11-02,-0.1347
2005-11-03,2.0229
2005-11-04,-0.2644
2005-11-07,1.9661
2005-11-08,-1.6033
2005-11-09,0.3303
