ticker,TCGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-28,-14.2857
2000-02-14,16.6667
2000-02-15,71.4286
2000-02-16,-50.0
2000-02-18,33.3333
2000-02-23,-12.5
2000-02-29,-4.0
2000-03-01,-40.4762
2000-03-07,100.0
2000-03-10,0.0
2000-03-14,0.0
2000-03-22,4.0
2000-03-23,-3.8462
2000-04-03,-20.0
2000-04-06,-21.875
2000-04-10,0.0
2000-04-11,13.92
2000-04-12,1.1236
2000-04-13,-5.5556
2000-05-23,-5.8824
2000-06-08,-50.0
2000-06-15,25.0
2000-06-27,0.0
2000-08-09,-20.0
2000-08-28,0.0
2000-09-14,0.0
2000-10-06,12.5
2000-10-10,-16.6667
2000-10-17,0.0
2000-10-19,0.0
2000-11-06,-16.6667
2000-11-07,0.0
2000-11-08,-12.0
2000-12-08,-27.2727
2000-12-12,-21.875
2000-12-13,-36.0
2000-12-14,50.0
2000-12-20,-16.6667
2001-01-08,140.0
2001-01-23,16.6667
2001-02-15,-35.7143
2001-02-22,44.4444
2001-02-23,5.7692
2001-02-26,-5.4545
2001-04-02,0.0
2001-04-26,0.0
2001-05-03,-7.6923
2001-05-22,0.0
2001-08-14,-33.3333
2001-11-07,0.0
2001-11-08,25.0
2001-11-15,-30.0
2001-11-16,-14.2857
2001-11-20,3.3333
2001-12-06,29.0323
2001-12-07,0.0
2001-12-17,0.0
2002-01-08,0.0
2002-03-01,0.0
2002-03-15,50.0
2002-04-10,-23.3333
2002-06-25,-2.1739
2002-09-27,0.0
2002-10-04,6.6667
2002-10-11,4.1667
2003-01-09,-6.0
2003-01-10,27.6596
2003-01-21,-15.0
2003-01-22,0.0
2003-03-31,37.2549
2003-04-10,-14.2857
2003-04-23,0.0
2003-05-16,16.6667
2003-05-19,28.5714
2003-05-29,-22.2222
2003-06-05,0.0
2003-06-26,-14.2857
2003-07-29,0.0
2003-08-13,-16.6667
2003-08-26,0.0
2003-09-02,20.0
2003-09-03,0.0
2003-10-03,33.3333
2003-11-10,-18.75
2004-01-26,-23.0769
2004-03-04,-10.0
2004-03-15,0.0
2004-03-22,0.0
2004-04-22,0.0
2004-05-05,211.1111
2004-05-06,0.0
2004-05-07,0.0
2004-05-12,0.0
2004-05-20,7.1429
2004-06-04,-6.6667
2004-07-09,0.0
2004-08-11,0.0
2004-08-27,0.0
2004-10-13,0.0
2004-10-18,-14.2857
2004-11-01,-58.3333
2004-11-08,40.0
2004-11-09,-28.5714
2004-11-11,60.0
2004-11-12,-56.25
