ticker,PULM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-21,0.0
2014-03-24,-6.7586
2014-03-25,5.4734
2014-03-26,-2.805
2014-03-27,-2.5974
2014-03-28,2.5185
2014-03-31,-1.1561
2014-04-01,-1.3158
2014-04-02,3.7037
2014-04-03,-0.1429
2014-04-04,-1.2876
2014-04-07,-0.1449
2014-04-08,1.4514
2014-04-09,2.1459
2014-04-10,-1.2605
2014-04-11,1.4184
2014-04-14,-1.6783000000000001
2014-04-15,-2.6316
2014-04-16,-1.2418
2014-04-17,3.5503
2014-04-21,-1.0
2014-04-22,-0.8658
2014-04-23,1.7467000000000001
2014-04-24,-0.4292
2014-04-25,-0.2874
2014-04-28,0.4323
2014-04-29,-0.8608
2014-04-30,-0.9144
2014-05-01,-1.56
2014-05-02,-4.3027
2014-05-05,-1.5504
2014-05-06,1.4173
2014-05-07,-2.4845
2014-05-08,-1.4331
2014-05-09,1.7801
2014-05-12,1.1002
2014-05-13,-1.0911
2014-05-14,5.3968
2014-05-15,0.9055
2014-05-16,-1.4795
2014-05-19,-0.7726
2014-05-20,0.1527
2014-05-21,4.1159
2014-05-22,-7.1742
2014-05-23,-0.4732
2014-05-27,-0.317
2014-05-28,-3.6586
2014-05-29,4.2926
2014-05-30,0.4747
2014-06-02,2.5197000000000003
2014-06-03,2.0891
2014-06-04,-5.6575
2014-06-05,1.3656
2014-06-06,1.0129
2014-06-09,2.4922
2014-06-10,3.0395
2014-06-11,-1.4748999999999999
2014-06-12,1.0479
2014-06-13,-0.1481
2014-06-16,1.4837
2014-06-17,-2.924
2014-06-18,-1.506
2014-06-19,1.0703
2014-06-20,-13.0106
2014-06-23,4.3457
2014-06-24,3.6188000000000002
2014-06-25,-2.0428
2014-06-26,6.2397
2014-06-27,-3.0912
2014-06-30,-4.4657
2014-07-01,2.3372
2014-07-02,-2.1207
2014-07-03,2.8333
2014-07-07,0.4538
2014-07-08,-3.1946
2014-07-09,-0.8333
2014-07-10,-2.521
2014-07-11,1.7241
2014-07-14,-0.5085
2014-07-15,-2.0443
2014-07-16,4.3478
2014-07-17,-3.0
2014-07-18,-5.1546
2014-07-21,-1.9928
2014-07-22,-2.2181
2014-07-23,-4.5369
2014-07-24,7.3267
2014-07-25,11.0701
2014-07-28,-6.4784
2014-07-29,9.4139
2014-07-30,-7.4675
2014-07-31,-5.0877
2014-08-01,3.512
2014-08-04,-0.5357
2014-08-05,-6.6427
2014-08-06,1.9231
2014-08-07,0.566
2014-08-08,-2.439
