ticker,SAEXQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-08-03,-0.9385
2011-08-04,0.1053
2011-08-05,-0.1052
2011-08-08,0.1053
2011-08-09,-0.1052
2011-08-10,0.0
2011-08-16,0.7895
2011-08-22,0.2611
2011-08-29,0.0
2011-09-22,0.0
2011-09-26,0.0
2011-09-28,0.0
2011-09-30,0.0
2011-10-04,0.0
2011-10-06,0.0
2011-10-07,0.0
2011-10-18,0.0
2011-10-19,0.0
2011-11-17,0.0
2011-11-18,0.0
2011-11-21,0.0
2011-12-07,0.2083
2011-12-09,0.8316
2011-12-13,-0.5155
2011-12-14,0.5181
2011-12-16,0.0
2011-12-20,0.0
2011-12-27,-1.0309
2011-12-28,1.0417
2012-01-03,0.0
2012-01-04,0.0
2012-01-05,3.0928
2012-01-06,-4.0
2012-01-10,1.3542
2012-01-12,0.0
2012-01-13,0.0
2012-01-17,0.1028
2012-01-20,-0.4107
2012-01-23,0.4124
2012-01-24,-0.1027
2012-01-25,-0.3083
2012-01-26,0.0
2012-01-27,0.0
2012-01-30,0.0
2012-01-31,0.0
2012-02-06,0.0
2012-02-10,-1.0309
2012-02-29,0.2083
2012-03-01,0.8316
2012-03-02,0.0
2012-03-05,0.0
2012-03-06,0.0
2012-03-12,0.0
2012-03-16,0.0
2012-03-29,-0.6186
2012-03-30,0.6224
2012-04-02,-0.7216
2012-04-04,0.7269
2012-04-10,-0.5155
2012-04-11,0.0
2012-04-12,0.0
2012-04-13,0.0
2012-04-16,0.0
2012-04-17,0.0
2012-04-18,0.0
2012-04-19,0.0
2012-04-23,0.5181
2012-04-24,-0.4124
2012-04-26,0.0
2012-04-27,0.0
2012-05-03,0.2083
2012-05-04,0.2053
2012-05-15,-0.2751
2012-05-17,0.2759
2012-05-21,0.0
2012-05-22,0.5155
2012-05-23,0.0
2012-05-24,0.0
2012-05-25,0.0
2012-05-29,0.0
2012-05-30,-0.5128
2012-06-11,0.0
2012-06-13,0.0
2012-06-28,0.3782
2012-07-05,-0.6849
2012-07-09,0.5895
2012-07-13,-0.2776
2012-07-16,-0.3093
2012-07-19,1.241
2012-08-07,0.4086
2012-08-10,0.0
2012-08-15,-0.1017
2012-08-16,-0.3055
2012-08-22,-0.2043
2012-09-06,0.3071
2012-09-18,17.8571
2012-09-19,-13.506499999999999
2012-09-25,-0.1401
2012-09-27,-0.9053
2012-09-28,0.6746
2012-10-04,-0.5376
2012-10-08,-0.1907
2012-10-10,-1.5182
2012-10-12,1.6444
