ticker,HKBT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-05-11,-63.6364
2009-05-12,0.0
2009-05-13,100.0
2009-05-14,85.0
2009-05-15,37.8378
2009-05-18,-15.6863
2009-05-19,-20.9302
2009-05-20,-8.8235
2009-05-21,9.6774
2009-05-22,11.7647
2009-05-26,-5.2632
2009-05-27,-19.4444
2009-05-28,1.7241
2009-05-29,-1.6949
2009-06-01,-10.3448
2009-06-02,7.6923
2009-06-03,32.1429
2009-06-04,8.1081
2009-06-05,21.25
2009-06-08,-22.6804
2009-06-09,0.0
2009-06-10,4.0
2009-06-11,10.2564
2009-06-12,-18.6047
2009-06-15,-11.4286
2009-06-16,0.0
2009-06-17,-6.4516
2009-06-18,0.0
2009-06-19,3.4483
2009-06-22,-10.0
2009-06-23,-3.7037
2009-06-24,-3.8462
2009-06-25,-8.0
2009-06-26,-8.6957
2009-06-29,-2.3810000000000002
2009-06-30,7.3171
2009-07-01,0.0
2009-07-02,0.0
2009-07-06,-9.0909
2009-07-07,-17.5
2009-07-08,2.4242
2009-07-09,12.426
2009-07-10,-10.526299999999999
2009-07-13,0.0
2009-07-14,5.8824
2009-07-15,5.5556
2009-07-16,-10.526299999999999
2009-07-17,0.0
2009-07-20,0.0
2009-07-21,-5.8824
2009-07-22,6.25
2009-07-23,-17.0588
2009-07-24,13.4752
2009-07-27,6.25
2009-07-28,-8.8235
2009-07-29,3.2258
2009-07-30,50.0
2009-07-31,-14.5833
2009-08-03,-7.3171
2009-08-04,0.0
2009-08-05,10.526299999999999
2009-08-06,-2.3810000000000002
2009-08-07,-2.439
2009-08-10,-10.0
2009-08-11,2.7778
2009-08-12,0.0
2009-08-13,5.4054
2009-08-14,-7.6923
2009-08-17,16.6667
2009-08-18,9.5238
2009-08-19,-13.0435
2009-08-20,2.5
2009-08-21,12.1951
2009-08-24,-8.6957
2009-08-25,-4.7619
2009-08-26,10.0
2009-08-27,0.0
2009-08-28,29.5455
2009-08-31,-8.7719
2009-09-01,5.7692
2009-09-02,-23.6364
2009-09-03,-13.8095
2009-09-04,-3.3149
2009-09-08,-8.5714
2009-09-09,-6.25
2009-09-10,6.6667
2009-09-11,-3.125
2009-09-14,-2.5806
2009-09-15,-0.6623
2009-09-16,0.0
2009-09-17,0.0
2009-09-18,-3.3333
2009-09-21,-3.4483
2009-09-22,0.0
2009-09-23,0.0
2009-09-24,-0.7143
2009-09-25,4.3165
2009-09-28,-6.8966
2009-09-29,3.7037
2009-09-30,0.0
