ticker,CATB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-25,8.3333
2015-06-26,3.6154
2015-06-29,-13.1032
2015-06-30,4.3144
2015-07-01,8.1081
2015-07-02,-6.0606
2015-07-06,10.0
2015-07-07,-1.6129
2015-07-08,-3.1297
2015-07-09,-3.4615
2015-07-10,14.5817
2015-07-13,-9.9444
2015-07-14,7.8764
2015-07-15,-4.2949
2015-07-16,-0.5236
2015-07-17,5.6391
2015-07-20,-2.0641
2015-07-21,1.7442
2015-07-22,1.0
2015-07-23,2.5460000000000003
2015-07-24,-4.1379
2015-07-27,-13.6691
2015-07-28,9.0833
2015-07-29,3.1322
2015-07-30,3.4074
2015-07-31,-6.8768
2015-08-03,-4.5385
2015-08-04,5.1571
2015-08-05,1.6475
2015-08-06,-2.9778000000000002
2015-08-07,-1.6317
2015-08-10,1.3822999999999999
2015-08-11,-4.7137
2015-08-12,-6.6231
2015-08-13,4.9912
2015-08-14,0.0
2015-08-17,0.6672
2015-08-18,-1.4913
2015-08-19,0.4205
2015-08-20,-0.5863
2015-08-21,-5.139
2015-08-24,-0.7993
2015-08-25,-1.0743
2015-08-26,0.724
2015-08-27,7.1878
2015-08-28,3.0008
2015-08-31,-7.3079
2015-09-01,-6.2335
2015-09-02,12.1723
2015-09-03,-4.0067
2015-09-04,-2.6957
2015-09-08,-3.3959
2015-09-09,10.0833
2015-09-10,-7.2269
2015-09-11,-3.8043
2015-09-14,2.1657
2015-09-15,2.212
2015-09-16,-1.9838
2015-09-17,2.2079
2015-09-18,-15.0315
2015-09-21,3.6017
2015-09-22,-0.7157
2015-09-23,-1.2358
2015-09-24,-1.0428
2015-09-25,-16.7545
2015-09-28,-3.7975
2015-09-29,1.4474
2015-09-30,4.9287
2015-10-01,-10.5068
2015-10-02,3.7293
2015-10-05,-5.4594
2015-10-06,2.2535
2015-10-07,5.2342
2015-10-08,1.5707
2015-10-09,-1.2887
2015-10-12,1.0444
2015-10-13,9.1731
2015-10-14,2.2485
2015-10-15,3.9352
2015-10-16,-8.4633
2015-10-19,0.6083
2015-10-20,-4.8368
2015-10-21,-10.1652
2015-10-22,-0.7072
2015-10-23,13.6752
2015-10-26,-4.8872
2015-10-27,-8.0369
2015-10-28,7.5931
2015-10-29,-3.7284
2015-10-30,-3.4577999999999998
2015-11-02,6.5903
2015-11-03,-0.9409
2015-11-04,2.8494
2015-11-05,1.9788999999999999
2015-11-06,-2.9754
2015-11-09,7.8667
2015-11-10,3.2138
2015-11-11,-8.503
