ticker,HWGG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-24,-3.2258
2017-01-26,33.3333
2017-01-31,0.0
2017-02-01,5.0
2017-02-02,19.0476
2017-02-03,0.0
2017-02-06,4.0
2017-02-08,0.0
2017-02-10,-3.8462
2017-02-14,4.0
2017-02-16,0.0
2017-02-28,0.0
2017-03-02,0.0
2017-03-06,1.9231
2017-03-13,0.9434
2017-03-14,0.0
2017-03-15,0.0
2017-03-20,-2.8037
2017-03-21,0.0
2017-03-24,2.8846
2017-03-27,0.9346
2017-03-31,0.0
2017-04-04,1.8519
2017-04-11,-1.8182
2017-04-21,-1.8519
2017-04-24,-1.8868
2017-04-25,1.9231
2017-04-28,0.0
2017-05-03,0.0
2017-05-05,0.0
2017-05-08,0.0
2017-05-12,0.0
2017-05-17,0.0
2017-05-25,-1.8868
2017-06-13,-1.9231
2017-07-14,-8.7255
2017-07-17,7.4114
2017-08-15,20.0
2017-08-18,16.6667
2017-08-23,0.0
2017-08-30,-14.2857
2017-09-22,-16.6667
2017-09-25,10.0
2017-10-06,4.5455
2017-10-17,0.0
2017-11-03,0.0
2017-11-08,30.4348
2017-11-14,-33.3333
2017-11-15,20.0
2017-11-30,20.8333
2017-12-12,0.0
2017-12-29,3.4483
2018-01-03,33.3333
2018-03-27,10.0
2018-08-29,-9.0909
2019-05-24,-25.0
2019-08-08,0.0
2019-11-06,0.0
2020-02-19,-3.3333
2020-04-22,-3.4483
2020-04-24,-95.7143
2020-04-27,2900.0
2020-06-01,11.1111
2020-07-06,0.0
2020-07-10,0.0
