ticker,UCL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-11,-0.406
2020-06-12,-3.7274000000000003
2020-06-15,3.6897
2020-06-16,4.9597999999999995
2020-06-17,-0.4797
2020-06-18,-8.7898
2020-06-19,0.4287
2020-06-22,2.0732
2020-06-23,0.6135
2020-06-24,-1.6322
2020-06-25,1.0991
2020-06-26,-1.9099
2020-06-29,1.5362
2020-06-30,-1.2432
2020-07-01,-1.3663
2020-07-02,-2.8228
2020-07-06,-1.7654999999999998
2020-07-07,-11.2323
2020-07-08,0.7625
2020-07-09,-1.9813
2020-07-10,2.1316
2020-07-13,3.9971
2020-07-14,0.7255
2020-07-15,-2.6804
2020-07-16,-1.9068
2020-07-17,0.288
2020-07-20,-0.7179
2020-07-21,-0.5647
2020-07-22,-4.086
2020-07-23,-4.7763
2020-07-24,3.5032
2020-07-27,1.9231
2020-07-28,-5.6604
2020-07-29,-2.8
2020-07-30,3.7037
2020-07-31,7.7778
