ticker,BFAM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-01-25,28.7273
2013-01-28,-0.2472
2013-01-29,1.7699
2013-01-30,-0.4174
2013-01-31,-2.2005
2013-02-01,1.0714
2013-02-04,-0.9187
2013-02-05,-0.6419
2013-02-06,-1.2922
2013-02-07,3.6364
2013-02-08,3.5088
2013-02-11,2.2373
2013-02-12,-3.0172
2013-02-13,-0.8205
2013-02-14,-1.0686
2013-02-15,-0.3833
2013-02-19,-0.1399
2013-02-20,1.8914
2013-02-21,-2.5438
2013-02-22,-0.5996
2013-02-25,-0.6388
2013-02-26,-0.0714
2013-02-27,-0.0357
2013-02-28,-0.0358
2013-03-01,0.1073
2013-03-04,0.0357
2013-03-05,1.25
2013-03-06,-1.1287
2013-03-07,-0.2854
2013-03-08,0.4651
2013-03-11,3.2407
2013-03-12,5.4157
2013-03-13,-1.8325
2013-03-14,10.1333
2013-03-15,-2.6936999999999998
2013-03-18,1.9907
2013-03-19,2.6837
2013-03-20,3.2373
2013-03-21,2.1577
2013-03-22,-1.8586
2013-03-25,-1.0043
2013-03-26,-0.3478
2013-03-27,-2.1233
2013-03-28,0.416
2013-04-01,-1.095
2013-04-02,-1.0772
2013-04-03,-1.2099
2013-04-04,3.0618
2013-04-05,-2.2876
2013-04-08,2.0675
2013-04-09,-1.7574999999999998
2013-04-10,0.7884
2013-04-11,0.3309
2013-04-12,1.3793
2013-04-15,-3.2535
2013-04-16,2.1094
2013-04-17,-1.3473
2013-04-18,0.0
2013-04-19,0.2428
2013-04-22,-2.2101
2013-04-23,3.4365
2013-04-24,-1.3469
2013-04-25,0.182
2013-04-26,-1.5748
2013-04-29,0.1231
2013-04-30,-0.3073
2013-05-01,-2.4044
2013-05-02,2.4321
2013-05-03,2.0352
2013-05-06,-0.0604
2013-05-07,2.3586
2013-05-08,2.452
2013-05-09,-0.692
2013-05-10,-1.4808
2013-05-13,-0.9431
2013-05-14,0.5653
2013-05-15,-0.2663
2013-05-16,0.5933
2013-05-17,0.1769
2013-05-20,1.0009
2013-05-21,2.4483
2013-05-22,-0.5405
2013-05-23,-2.0023
2013-05-24,0.9048
2013-05-28,2.6323
2013-05-29,-0.31
2013-05-30,7.8598
2013-05-31,-5.5046
2013-06-03,-2.4965
2013-06-04,-0.6828
2013-06-05,-0.3151
2013-06-06,1.9828000000000001
2013-06-07,1.7187999999999999
2013-06-10,1.0803
2013-06-11,-5.6454
2013-06-12,-4.0081
2013-06-13,1.3616
2013-06-14,-0.9552
