ticker,CLXT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-07-20,40.625
2017-07-21,-3.9111000000000002
2017-07-24,0.0463
2017-07-25,-0.601
2017-07-26,-2.8837
2017-07-27,2.3946
2017-07-28,0.5613
2017-07-31,0.2791
2017-08-01,0.5566
2017-08-02,3.5055
2017-08-03,-2.852
2017-08-04,3.211
2017-08-07,-0.5333
2017-08-08,-1.3405
2017-08-09,0.9058
2017-08-10,8.9767
2017-08-11,-2.6359
2017-08-14,3.6379
2017-08-15,2.0408
2017-08-16,-3.44
2017-08-17,-2.0713
2017-08-18,5.4146
2017-08-21,8.9085
2017-08-22,8.9167
2017-08-23,6.7659
2017-08-24,-1.0773
2017-08-25,-5.5734
2017-08-28,6.3094
2017-08-29,1.5954000000000002
2017-08-30,0.6281
2017-08-31,-5.1186
2017-09-01,14.5395
2017-09-05,10.3389
2017-09-06,5.57
2017-09-07,8.4813
2017-09-08,5.9545
2017-09-11,3.1317
2017-09-12,8.1531
2017-09-13,1.5
2017-09-14,7.2755
2017-09-15,-12.8223
2017-09-18,-11.3857
2017-09-19,11.1111
2017-09-20,-1.4815
2017-09-21,11.4035
2017-09-22,-3.5621
2017-09-25,3.1882
2017-09-26,-0.2638
2017-09-27,-6.9135
2017-09-28,-1.0552
2017-09-29,0.4512
2017-10-02,7.7991
2017-10-03,1.4773
2017-10-04,-3.5834
2017-10-05,2.5552
2017-10-06,-0.1888
2017-10-09,-1.7776
2017-10-10,12.0139
2017-10-11,8.2159
2017-10-12,-7.6239
2017-10-13,-4.2985
2017-10-16,0.3593
2017-10-17,-2.3272
2017-10-18,-7.0015
2017-10-19,-0.8277
2017-10-20,0.5564
2017-10-23,-9.4071
2017-10-24,1.6143
2017-10-25,0.4723
2017-10-26,1.5385
2017-10-27,-5.4293
2017-10-30,6.5421
2017-10-31,-14.4528
2017-11-01,13.0371
2017-11-02,-5.7883
2017-11-03,1.7882
2017-11-06,-1.8468
2017-11-07,-5.3694
2017-11-08,3.1523
2017-11-09,2.5388
2017-11-10,-2.6593
2017-11-13,-0.3297
2017-11-14,-9.3573
2017-11-15,-6.4651
2017-11-16,5.1282
2017-11-17,-2.7572
2017-11-20,2.2356
2017-11-21,-0.16
2017-11-22,3.953
2017-11-24,2.261
2017-11-27,-0.7538
2017-11-28,0.2532
2017-11-29,0.1515
2017-11-30,-3.4796
2017-12-01,-2.1421
2017-12-04,-8.5424
2017-12-05,4.495
2017-12-06,5.9777000000000005
2017-12-07,4.6389
