ticker,RVI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-28,0.0
2018-06-29,-0.7937
2018-07-02,3.616
2018-07-03,1.9456
2018-07-05,4.3623
2018-07-06,6.0377
2018-07-09,-1.4509
2018-07-10,3.7778
2018-07-11,-2.0878
2018-07-12,-0.328
2018-07-13,-1.2617
2018-07-16,-1.4167
2018-07-17,-0.2536
2018-07-18,-2.5423999999999998
2018-07-19,-0.5217
2018-07-20,0.5828
2018-07-23,3.3893
2018-07-24,-2.2135
2018-07-25,0.1719
2018-07-26,-1.4302000000000001
2018-07-27,-1.7702
2018-07-30,-3.2496
2018-07-31,0.8855
2018-08-01,2.3002000000000002
2018-08-02,0.7101
2018-08-03,-1.1751
2018-08-06,1.843
2018-08-07,-2.4518
2018-08-08,-0.2992
2018-08-09,3.8415
2018-08-10,-1.2428
2018-08-13,-0.1171
2018-08-14,-1.6701000000000001
2018-08-15,-2.4136
2018-08-16,1.1602999999999999
2018-08-17,1.7205
2018-08-20,0.8012
2018-08-21,1.2953000000000001
2018-08-22,0.8428
2018-08-23,0.8069
2018-08-24,0.9434
2018-08-27,0.6231
2018-08-28,0.4785
2018-08-29,-1.0924
2018-08-30,-0.7647
2018-08-31,1.9405999999999999
2018-09-04,-2.9955
2018-09-05,-0.0289
2018-09-06,-2.3383
2018-09-07,-1.6553
2018-09-10,-2.5248
2018-09-11,-1.3259
2018-09-12,1.5
2018-09-13,-0.4002
2018-09-14,-1.0819
2018-09-17,-0.2188
2018-09-18,0.0626
2018-09-19,-2.0657
2018-09-20,0.767
2018-09-21,-0.4123
2018-09-24,-0.4777
2018-09-25,0.416
2018-09-26,0.5417
2018-09-27,0.0
2018-09-28,3.6132999999999997
2018-10-01,-1.8048
2018-10-02,-2.0561
2018-10-03,-1.5903
2018-10-04,-0.3232
2018-10-05,-0.1621
2018-10-08,0.5521
2018-10-09,-0.0646
2018-10-10,-1.1959
2018-10-11,-1.0141
2018-10-12,0.7601
2018-10-15,-1.9679
2018-10-16,1.8066
2018-10-17,-0.953
2018-10-18,-0.929
2018-10-19,-0.8707
2018-10-22,-1.8919000000000001
2018-10-23,-1.3774
2018-10-24,-0.3841
2018-10-25,0.3856
2018-10-26,-1.2221
2018-10-29,0.1767
2018-10-30,-0.5646
2018-10-31,-0.6033
2018-11-01,0.1428
2018-11-02,0.4991
2018-11-05,0.2483
2018-11-06,0.8493
2018-11-07,1.0877
2018-11-08,-1.0413000000000001
2018-11-09,-0.8067
2018-11-12,-0.7426
