ticker,ARTW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-05,3.4483
2000-01-06,-3.3333
2000-01-10,3.4483
2000-01-11,0.0
2000-01-12,0.0
2000-01-14,3.3333
2000-01-18,8.871
2000-01-20,-14.0741
2000-02-09,3.4483
2000-02-11,-3.3333
2000-02-16,0.0
2000-02-18,6.8966
2000-02-22,0.0
2000-02-24,-9.6774
2000-02-25,7.1429
2000-02-28,-6.6667
2000-02-29,7.1429
2000-03-08,-6.6667
2000-03-10,0.0
2000-03-16,0.0
2000-03-20,7.1429
2000-03-22,-6.6667
2000-03-27,1.7856999999999998
2000-03-29,5.2632
2000-03-30,-13.3333
2000-03-31,-3.8462
2000-04-10,0.0
2000-04-24,0.0
2000-04-25,0.0
2000-04-26,0.0
2000-05-02,12.0
2000-05-04,0.0
2000-05-09,-10.7143
2000-05-10,20.0
2000-05-11,6.6667
2000-05-12,3.125
2000-05-19,-6.0606
2000-05-23,3.2258
2000-05-24,-1.5625
2000-05-25,1.5873
2000-05-26,-6.25
2000-06-08,6.6667
2000-06-23,-3.125
2000-06-28,-9.6774
2000-07-05,8.9286
2000-07-21,-4.918
2000-07-24,0.0
2000-07-26,1.7241
2000-07-28,-5.0847
2000-08-01,-7.1429
2000-08-03,0.0
2000-08-10,7.6923
2000-08-15,-7.1429
2000-08-22,0.0
2000-08-23,0.0
2000-09-01,7.6923
2000-09-05,0.0
2000-09-06,-3.5714
2000-09-07,0.0
2000-09-12,0.0
2000-09-14,1.8519
2000-09-19,-1.8182
2000-09-20,-3.7037
2000-09-29,0.0
2000-10-03,0.0
2000-10-12,3.8462
2000-10-13,0.0
2000-10-18,3.7037
2000-10-24,-3.5714
2000-11-06,0.0
2000-11-07,0.0
2000-11-08,0.0
2000-11-15,-7.4074
2000-11-17,0.0
2000-11-27,0.0
2000-11-28,12.0
2000-11-30,-12.5
2000-12-04,0.0
2000-12-12,0.0
2000-12-13,0.0
2000-12-14,2.0408
2000-12-15,-4.0
2000-12-19,-4.1667
2000-12-20,0.0
2000-12-26,0.0
2000-12-27,0.0
2000-12-28,4.3478
2000-12-29,0.0
2001-01-02,-8.3333
2001-01-05,0.0
2001-01-09,9.0909
2001-01-10,0.0
2001-01-26,0.0
2001-02-02,-8.3333
2001-02-12,15.9091
2001-02-21,-9.8039
2001-03-02,-13.0435
2001-03-08,20.0
2001-03-09,-8.3333
2001-03-13,9.0909
2001-03-14,-8.3333
2001-03-15,6.8182
2001-03-26,-6.383
2001-03-27,0.0
