ticker,ZZLL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-30,-16.6667
2008-01-31,30.0
2008-02-01,-2.5641
2008-02-06,2.6316
2008-06-23,-74.359
2008-08-12,-30.0
2008-09-15,0.0
2008-10-28,200.0
2009-04-24,-90.4762
2009-05-29,0.0
2010-06-02,5.0
2010-07-30,4.7619
2010-09-24,-90.0568
2010-10-14,105.7143
2011-01-11,6344.4444
2011-05-16,-93.1034
2012-05-02,-90.0
2013-06-06,0.0
2013-07-17,4900.0
2013-07-31,-45.0
2013-08-23,-18.1818
2013-08-28,-11.1111
2013-12-06,62.5
2013-12-09,0.0
2013-12-10,0.0
2013-12-12,0.0
2013-12-13,-1.5385
2013-12-17,1.5625
2013-12-20,7.6923
2013-12-23,7.1429
2013-12-24,0.0
2013-12-26,13.3333
2013-12-27,-17.647100000000002
2013-12-30,8.5714
2013-12-31,0.0
2014-01-02,-3.9474
2014-01-03,0.0
2014-01-06,2.7397
2014-01-07,0.0
2014-01-08,0.0
2014-01-09,2.6667
2014-01-10,0.0
2014-01-13,0.0
2014-01-14,0.0
2014-01-15,0.0
2014-01-16,0.0
2014-01-17,0.0
2014-01-21,1.2987
2014-01-23,-3.8462
2014-01-24,0.0
2014-01-27,0.0
2014-01-28,0.0
2014-01-29,0.0
2014-01-30,0.0
2014-01-31,0.0
2014-02-03,1.3333
2014-02-04,-3.9474
2014-02-05,1.3699
2014-02-06,1.3514
2014-02-07,1.3333
2014-02-10,1.3158
2014-02-11,1.2987
2014-02-12,3.8462
2014-02-13,1.2346
2014-02-14,-6.0976
2014-02-18,1.2987
2014-02-19,5.1282
2014-02-20,2.439
2014-02-21,0.5952
2014-02-24,1.7751000000000001
2014-02-25,6.9767
2014-02-26,0.0136
2014-02-27,7.5941
2014-02-28,1.0101
2014-03-03,-9.8
2014-03-04,-0.2217
2014-03-05,-5.5556
2014-03-06,-0.2353
2014-03-07,-16.2736
2014-03-10,33.8028
2014-03-12,-1.0526
2014-03-13,-4.2553
2014-03-19,0.0
2014-03-20,0.0
2014-03-21,-11.1111
2014-03-25,-6.25
2014-03-26,0.0
2014-03-31,-6.6667
2014-04-01,0.0
2014-04-02,0.0
2014-04-04,21.4286
2014-04-07,-17.647100000000002
2014-04-11,0.0
2014-04-15,0.0
2014-04-21,0.0
2014-05-01,0.0
2014-05-02,0.0
2014-05-13,0.0
2014-05-20,1.4285999999999999
2014-05-21,-1.4085
2014-05-22,0.0
2014-06-02,0.0
2014-06-04,0.0
