ticker,GHIV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-04-08,3.2258
2020-04-09,0.1042
2020-04-15,1.103
2020-04-16,0.8646
2020-04-21,-0.2041
2020-04-22,0.2556
2020-04-23,-0.357
2020-04-27,-0.2047
2020-04-28,1.5508
2020-04-30,2.4876
2020-05-01,-3.6216
2020-05-04,4.9059
2020-05-05,-0.5829
2020-05-07,-1.9607999999999999
2020-05-08,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.5
2020-05-14,-0.8955
2020-05-19,0.9016
2020-05-20,0.002
2020-05-26,0.0
2020-05-28,-0.0259
2020-05-29,-0.639
2020-06-01,0.568
2020-06-02,0.001
2020-06-03,0.0996
2020-06-04,-0.2925
2020-06-05,-0.7045
2020-06-09,0.9548
2020-06-10,0.0498
2020-06-11,-0.4975
2020-06-12,0.4
2020-06-16,-0.3984
2020-06-17,1.0
2020-06-18,-0.9901
2020-06-22,0.259
2020-06-23,-0.0588
2020-06-24,0.6986
2020-06-25,1.3875
2020-06-26,0.0978
2020-06-29,-1.9531
2020-06-30,0.996
2020-07-01,0.5917
2020-07-02,0.0
2020-07-09,0.0
2020-07-10,1.4706000000000001
2020-07-13,0.9662
2020-07-14,0.9569
2020-07-15,-1.6114000000000002
2020-07-16,1.9268
2020-07-17,-0.7561
2020-07-20,-1.3333
2020-07-21,2.3166
2020-07-22,-0.1887
2020-07-23,1.5123
2020-07-24,-1.7691
2020-07-27,0.0948
2020-07-29,-0.6629
2020-07-30,-0.858
2020-07-31,-1.3462
