ticker,BL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-28,39.4118
2016-10-31,-4.0084
2016-11-01,-1.1429
2016-11-02,-1.5118
2016-11-03,-0.7675
2016-11-04,-0.9099
2016-11-07,7.5298
2016-11-08,-3.5013
2016-11-09,1.8142
2016-11-10,6.0843
2016-11-11,-2.1303
2016-11-14,-1.6743000000000001
2016-11-15,8.5994
2016-11-16,-2.7832
2016-11-17,3.0645
2016-11-18,7.7074
2016-11-21,0.7991
2016-11-22,-2.7027
2016-11-23,-0.1111
2016-11-25,-0.482
2016-11-28,1.8256000000000001
2016-11-29,3.5492
2016-11-30,-4.8057
2016-12-01,-0.5568
2016-12-02,1.5304
2016-12-05,-1.1397
2016-12-06,-4.0536
2016-12-07,1.6279
2016-12-08,-0.5339
2016-12-09,-1.0735999999999999
2016-12-12,-0.969
2016-12-13,-1.8395000000000001
2016-12-14,-1.6348
2016-12-15,-0.0811
2016-12-16,1.7444
2016-12-19,4.4657
2016-12-20,3.0534
2016-12-21,3.9259
2016-12-22,-0.9979
2016-12-23,-1.3679000000000001
2016-12-27,-2.0073
2016-12-28,0.2607
2016-12-29,-0.3343
2016-12-30,2.9817
2017-01-03,0.941
2017-01-04,-0.8247
2017-01-05,-2.6753
2017-01-06,0.9287
2017-01-09,0.0736
2017-01-10,-1.7654
2017-01-11,0.1123
2017-01-12,-1.0097
2017-01-13,1.5867
2017-01-17,-0.3719
2017-01-18,1.4184
2017-01-19,-1.0305
2017-01-20,5.2436
2017-01-23,-3.0035
2017-01-24,0.765
2017-01-25,1.5546
2017-01-26,-0.9256
2017-01-27,-0.6827
2017-01-30,-2.5326
2017-01-31,0.8909
2017-02-01,-1.3245
2017-02-02,0.522
2017-02-03,1.9287999999999998
2017-02-06,-0.8006
2017-02-07,0.7337
2017-02-08,-1.1289
2017-02-09,0.5525
2017-02-10,0.5861
2017-02-13,-0.5827
2017-02-14,0.8791
2017-02-15,2.6144
2017-02-16,0.6016
2017-02-17,3.5526
2017-02-21,0.5095
2017-02-22,-2.0277
2017-02-23,1.0693
2017-02-24,2.116
2017-02-27,-1.2032
2017-02-28,-3.4844
2017-03-01,1.2969
2017-03-02,0.2422
2017-03-03,-1.2772000000000001
2017-03-06,-2.6923
2017-03-07,-1.1858
2017-03-08,-1.3455
2017-03-09,-0.6635
2017-03-10,0.7421
2017-03-13,1.0681
2017-03-14,-0.2187
2017-03-15,2.7757
2017-03-16,3.909
2017-03-17,3.7278000000000002
2017-03-20,-0.6594
