ticker,SSGOF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-08,3.0769
2014-08-13,4.4776
2014-09-30,6.5714
2014-10-02,-0.2681
2014-10-08,0.2688
2014-10-09,0.5362
2014-10-10,-0.5333
2014-10-13,0.0
2014-10-14,1.3405
2014-10-15,-0.7937
2014-10-16,1.8667
2014-10-20,0.2618
2014-10-21,0.5222
2014-10-22,-2.5974
2014-10-23,0.0
2014-10-24,0.0
2014-10-27,0.2667
2014-10-28,-0.5319
2014-10-29,1.6042999999999998
2014-10-30,0.5263
2014-10-31,-0.2618
2014-11-03,0.0
2014-11-04,1.3123
2014-11-05,-1.2953000000000001
2014-11-06,0.2625
2014-11-10,1.3089
2014-11-12,1.5504
2014-11-13,-1.7812000000000001
2014-11-14,1.8135
2014-11-17,-2.5445
2014-11-18,1.3054999999999999
2014-11-19,0.7732
2014-11-20,2.3018
2014-11-21,0.0
2014-11-24,-0.75
2014-11-25,0.7557
2014-11-26,0.0
2014-11-28,-1.25
2014-12-01,0.2532
2014-12-02,1.0101
2014-12-03,-1.25
2014-12-04,0.7595
2014-12-05,1.7588
2014-12-08,0.0
2014-12-09,-1.7284000000000002
2014-12-10,-0.5025
2014-12-11,0.5051
2014-12-12,0.0
2014-12-15,0.0
2014-12-16,-0.2513
2014-12-17,0.2519
2014-12-18,-0.7538
2014-12-19,-0.2532
2014-12-22,1.0152
2014-12-23,-1.005
2014-12-24,0.2538
2014-12-29,1.2658
2014-12-30,0.0
2015-01-05,-0.5
2015-01-06,0.2513
2015-01-07,-0.7519
2015-01-08,0.2525
2015-01-09,0.2519
2015-01-12,-0.5025
2015-01-13,1.0101
2015-01-14,-2.75
2015-01-15,0.2571
2015-01-16,0.0
2015-01-20,2.0513
2015-01-21,0.5025
2015-01-22,0.25
2015-01-23,2.2444
2015-01-26,0.4878
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.9709
2015-01-30,0.4808
2015-02-02,-1.9139
2015-02-03,5.3659
2015-02-04,4.6296
2015-02-05,1.7699
2015-02-06,2.6087
2015-02-09,1.6949
2015-02-10,-1.6667
2015-02-11,3.3898
2015-02-13,2.459
2015-02-17,-2.4
2015-02-18,1.6393
2015-02-19,0.8065
2015-02-20,-3.2
2015-02-23,0.8264
2015-02-24,0.0
2015-02-25,4.918
2015-02-26,3.125
2015-02-27,2.2727
2015-03-02,-14.8148
2015-03-03,-4.3478
2015-03-04,4.5455
2015-03-05,2.6087
2015-03-06,0.8475
2015-03-09,0.0
