ticker,IFBH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-13,-9.2784
2000-01-14,2.2727
2000-01-31,13.3333
2000-02-14,0.0
2000-02-25,1.9607999999999999
2000-03-06,3.8462
2000-03-27,-16.6667
2000-05-08,1.1111
2000-05-10,0.0
2000-05-12,5.4945
2000-05-19,-2.0833
2000-06-22,1.2931
2000-07-12,9.5745
2000-09-08,-8.7379
2000-10-25,10.6383
2000-11-02,-11.538499999999999
2001-05-24,1.3216
2002-01-16,-28.5714
2002-01-30,9.375
2002-02-25,-8.5714
2002-09-04,-8.125
2002-09-12,-2.449
2002-10-23,2.5105
2002-10-25,1.3605
2002-12-02,-2.6846
2002-12-11,13.7931
2003-03-24,-5.0909
2004-04-16,2.1711
2006-01-12,156.25
2006-01-17,-7.3171
2006-01-18,0.0
2006-03-20,31.5789
2006-03-29,-2.4
2006-04-03,-5.7377
2006-04-06,0.0
2006-04-07,2.1739
2006-04-11,3.4043
2006-04-28,-0.2058
2006-05-23,-0.6186
2006-05-24,0.0
2006-05-31,-0.4149
2006-06-07,0.0
2006-06-22,-4.1667
2006-07-03,0.0
2006-07-05,0.0
2006-07-26,-4.3478
2006-10-16,-2.2727
2006-12-07,2.3256
2006-12-15,0.0
2006-12-21,2.2727
2007-02-14,0.4444
2007-04-13,5.0885
2007-07-12,-5.6356
2007-07-17,-0.0898
2007-08-27,0.0
2007-09-06,0.0
2007-09-07,-2.2472
2007-10-04,4.5977
2007-10-22,-2.6374
2007-10-24,-1.8058999999999998
2008-06-24,2.5463
2008-07-16,-2.2727
2009-07-23,-10.3774
2009-08-24,-2.6316
2015-07-16,127.8481
2017-03-31,19.8582
2018-07-09,21.6867
2018-09-10,0.0198
2018-12-21,0.4974
2018-12-27,2.455
2019-09-05,0.0
2019-09-10,26.2136
