ticker,ARA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-21,20.4545
2016-04-22,0.3774
2016-04-25,1.0902
2016-04-26,4.6486
2016-04-27,-2.2743
2016-04-28,0.0
2016-04-29,2.2545
2016-05-02,-1.138
2016-05-03,-0.1439
2016-05-04,0.1441
2016-05-05,-0.9712
2016-05-06,-0.9444
2016-05-09,1.1735
2016-05-10,-0.0362
2016-05-11,1.1602999999999999
2016-05-12,-2.4013999999999998
2016-05-13,1.7628
2016-05-16,2.3096
2016-05-17,-2.6455
2016-05-18,-0.2899
2016-05-19,0.4724
2016-05-20,-0.1447
2016-05-23,-0.4708
2016-05-24,-0.5459
2016-05-25,-0.9879
2016-05-26,0.85
2016-05-27,-0.3298
2016-05-31,2.9044
2016-06-01,0.1429
2016-06-02,0.7849
2016-06-03,0.0354
2016-06-06,2.3001
2016-06-07,-1.3836
2016-06-08,0.3157
2016-06-09,1.3986
2016-06-10,-0.1379
2016-06-13,0.8633
2016-06-14,-1.0613
2016-06-15,-1.1764999999999999
2016-06-16,-2.8711
2016-06-17,-1.2978
2016-06-20,-0.9861
2016-06-21,0.1475
2016-06-22,-3.1308
2016-06-23,6.2738
2016-06-24,0.5725
2016-06-27,-1.5653000000000001
2016-06-28,2.6382
2016-06-29,2.1127
2016-06-30,-0.1034
2016-07-01,-1.5188000000000001
2016-07-05,-9.8843
2016-07-06,-0.8168
2016-07-07,0.7451
2016-07-08,-0.0389
2016-07-11,6.6199
2016-07-12,-1.3514
2016-07-13,-0.7775
2016-07-14,-1.6791
2016-07-15,-1.4801
2016-07-18,-0.6934
2016-07-19,-0.5431
2016-07-20,3.6271
2016-07-21,0.0753
2016-07-22,0.0376
2016-07-25,0.0376
2016-07-26,-0.0752
2016-07-27,-8.1986
2016-07-28,-1.7616
2016-07-29,-0.5421
2016-08-01,-4.8218
2016-08-02,-3.6564
2016-08-03,4.5725
2016-08-04,-0.3498
2016-08-05,0.2633
2016-08-08,-0.744
2016-08-09,0.3086
2016-08-10,4.5275
2016-08-11,-2.0185
2016-08-12,-1.3734
2016-08-15,1.5666
2016-08-16,1.0711
2016-08-17,-3.7304
2016-08-18,-2.598
2016-08-19,-10.443
2016-08-22,2.6249000000000002
2016-08-23,6.4929
2016-08-24,-0.5081
2016-08-25,0.1857
2016-08-26,-1.0658
2016-08-29,3.0913
2016-08-30,0.9087
2016-08-31,-4.4124
2016-09-01,-2.2138
2016-09-02,1.4933
2016-09-06,1.1391
2016-09-07,-1.1262
