ticker,FENG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-12,34.0909
2011-05-13,-11.1864
2011-05-16,-6.1068999999999996
2011-05-17,-1.3820999999999999
2011-05-18,2.6381
2011-05-19,-1.2851
2011-05-20,1.7086999999999999
2011-05-23,-5.2
2011-05-24,-3.3755
2011-05-25,-1.2227000000000001
2011-05-26,1.6799
2011-05-27,-1.1304
2011-05-31,1.2313
2011-06-01,3.1277
2011-06-02,8.0876
2011-06-03,3.6633
2011-06-06,-0.7519
2011-06-07,-10.5303
2011-06-08,-2.2015000000000002
2011-06-09,1.039
2011-06-10,-2.6564
2011-06-13,-1.3204
2011-06-14,-0.3568
2011-06-15,-0.1791
2011-06-16,-7.8924
2011-06-17,-3.2132
2011-06-20,-9.0543
2011-06-21,-3.0973
2011-06-22,3.9954
2011-06-23,-2.0856
2011-06-24,-10.3139
2011-06-27,13.75
2011-06-28,4.5055
2011-06-29,-7.2555
2011-06-30,1.7006999999999999
2011-07-01,6.5775
2011-07-05,5.6485
2011-07-06,0.297
2011-07-07,-0.2962
2011-07-08,-2.2772
2011-07-11,-7.1935
2011-07-12,4.8035
2011-07-13,-2.8125
2011-07-14,0.5359
2011-07-15,3.1983
2011-07-18,0.5165
2011-07-19,4.6249
2011-07-20,-0.3917
2011-07-21,-1.3819
2011-07-22,3.5013
2011-07-25,3.3804
2011-07-26,-1.6822
2011-07-27,-3.0418
2011-07-28,2.0588
2011-07-29,-0.6724
2011-08-01,0.4836
2011-08-02,-0.9625
2011-08-03,-10.0097
2011-08-04,-1.6199
2011-08-05,0.1098
2011-08-08,-4.057
2011-08-09,3.4286
2011-08-10,-5.5249
2011-08-11,2.6901
2011-08-12,-0.457
2011-08-15,2.633
2011-08-16,1.0033
2011-08-17,-1.2141
2011-08-18,-17.3184
2011-08-19,0.8108
2011-08-22,0.134
2011-08-23,-0.9371
2011-08-24,-4.0541
2011-08-25,-5.493
2011-08-26,-0.8942
2011-08-29,4.812
2011-08-30,-4.5911
2011-08-31,-0.4511
2011-09-01,-6.9486
2011-09-02,-2.5974
2011-09-06,-0.0521
2011-09-07,4.3877
2011-09-08,-0.9585
2011-09-09,-6.129
2011-09-12,-5.4983
2011-09-13,5.4545
2011-09-14,-1.5516999999999999
2011-09-15,-0.1751
2011-09-16,0.0
2011-09-19,3.3333
2011-09-20,-1.528
2011-09-21,-1.2069
2011-09-22,-10.9926
2011-09-23,-3.9239
2011-09-26,1.0204
2011-09-27,6.6667
2011-09-28,1.8939
