ticker,CODX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-07-12,-3.1667
2017-07-13,-3.6145
2017-07-14,0.0893
2017-07-17,-2.4086
2017-07-18,-9.6892
2017-07-19,0.0
2017-07-20,-1.417
2017-07-21,-5.9548
2017-07-24,-1.9651
2017-07-25,4.6771
2017-07-26,-2.1277
2017-07-27,-4.3478
2017-07-28,0.4545
2017-07-31,-4.2986
2017-08-01,-5.9102
2017-08-02,-3.2663
2017-08-03,13.2468
2017-08-04,-1.6055000000000001
2017-08-07,-7.4592
2017-08-08,-3.0227
2017-08-09,2.0779
2017-08-10,-0.5089
2017-08-11,-1.5345
2017-08-14,9.0909
2017-08-15,16.6667
2017-08-16,2.0408
2017-08-17,-2.8
2017-08-18,0.823
2017-08-21,-1.8367
2017-08-22,3.5343
2017-08-23,-5.6225000000000005
2017-08-24,-0.8511
2017-08-25,-3.2189
2017-08-28,6.6519
2017-08-29,5.4054
2017-08-30,0.5917
2017-08-31,9.4118
2017-09-01,1.7921
2017-09-05,4.9296
2017-09-06,-0.3356
2017-09-07,-5.7239
2017-09-08,2.6786
2017-09-11,4.0
2017-09-12,-2.3411
2017-09-13,-2.911
2017-09-14,-1.0582
2017-09-15,-6.4171
2017-09-18,3.8095
2017-09-19,12.2936
2017-09-20,-0.4902
2017-09-21,3.4483
2017-09-22,-4.6032
2017-09-25,0.1664
2017-09-26,-2.7375
2017-09-27,2.8146
2017-09-28,1.6611
2017-09-29,2.1242
2017-10-02,-2.88
2017-10-03,-7.4135
2017-10-04,1.2456
2017-10-05,0.0
2017-10-06,-0.1757
2017-10-09,-2.2887
2017-10-10,0.9009
2017-10-11,-0.8929
2017-10-12,3.6036
2017-10-13,-0.52
2017-10-16,2.7814
2017-10-17,1.3743
2017-10-18,-0.3356
2017-10-19,1.1785
2017-10-20,2.1631
2017-10-23,3.4202
2017-10-24,5.8268
2017-10-25,-5.506
2017-10-26,-7.7165
2017-10-27,2.3891
2017-10-30,-5.0
2017-10-31,2.1053
2017-11-01,-3.6082
2017-11-02,0.8913
2017-11-03,-1.2367
2017-11-06,1.2522
2017-11-07,-3.5336
2017-11-08,1.2821
2017-11-09,-6.8716
2017-11-10,2.1359
2017-11-13,7.4144
2017-11-14,-1.7699
2017-11-15,-6.8468
2017-11-16,3.8685
2017-11-17,-0.9311
2017-11-20,-2.8195
2017-11-21,-2.1277
2017-11-22,3.1621
2017-11-24,-2.2989
2017-11-27,3.7255000000000003
2017-11-28,-1.8904
