ticker,AACH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-02,23.3333
2014-10-03,0.8108
2014-10-06,3.1635
2014-10-07,0.0
2014-10-08,-0.5717
2014-10-09,0.6273
2014-10-10,-1.2987
2014-10-13,0.0
2014-10-14,-4.7368
2014-10-15,7.3481
2014-10-16,-0.1544
2014-10-17,-1.6495
2014-10-20,-0.2621
2014-10-21,1.5239
2014-10-22,6.2112
2014-10-23,2.5827999999999998
2014-10-24,4.5131
2014-10-27,0.1364
2014-10-28,-0.1362
2014-10-29,-2.7727
2014-10-30,-0.8883
2014-10-31,2.7358000000000002
2014-11-03,1.0101
2014-11-04,-0.6818
2014-11-05,-1.1442
2014-11-06,8.1019
2014-11-07,9.207699999999999
2014-11-10,3.8430999999999997
2014-11-11,-5.7402
2014-11-12,0.1603
2014-11-13,7.04
2014-11-14,-1.1211
2014-11-17,5.9335
2014-11-18,4.7092
2014-11-19,-0.7155
2014-11-20,-7.2752
2014-11-21,-3.6269
2014-11-24,2.1505
2014-11-25,6.9173
2014-11-26,1.1955
2014-11-28,0.278
2014-12-01,2.5295
2014-12-02,6.8266
2014-12-03,-1.5817999999999999
2014-12-04,-2.0894
2014-12-05,4.1037
2014-12-08,-2.239
2014-12-09,4.5484
2014-12-10,-8.701
2014-12-11,0.6421
2014-12-12,0.6044
2014-12-15,-0.8678
2014-12-16,-1.0101
2014-12-17,1.1905000000000001
2014-12-18,0.1345
2014-12-19,-0.9735
2014-12-22,0.339
2014-12-23,-0.3378
2014-12-24,-0.5085
2014-12-26,1.3969
2014-12-29,0.4368
2014-12-30,3.5798
2014-12-31,-0.1292
2015-01-02,-2.2962
2015-01-05,-1.5889
2015-01-06,-1.1773
2015-01-07,-2.5187
2015-01-08,2.5489
2015-01-09,2.5877
2015-01-12,-2.8543
2015-01-13,1.5716
2015-01-14,-0.2691
2015-01-15,-3.204
2015-01-16,4.9826
2015-01-20,-3.5513
2015-01-21,-0.3441
2015-01-22,0.3798
2015-01-23,-4.0592
2015-01-26,1.4701
2015-01-27,-2.0495
2015-01-28,-3.9683
2015-01-29,-1.3148
2015-01-30,-2.855
2015-02-02,0.2743
2015-02-03,7.3075
2015-02-04,-0.437
2015-02-05,4.2429
2015-02-06,0.5614
2015-02-09,-1.7795
2015-02-10,-0.8171
2015-02-11,-0.0358
2015-02-12,1.0391
2015-02-13,3.227
2015-02-17,0.8588
2015-02-18,0.3065
2015-02-19,-0.2377
2015-02-20,3.4377
2015-02-23,5.6269
